"","descriptors"
"1322","Sharp-shinned"
"1323","Sharp-tailed"
"1324","Sharpe's"
"1325","Shining"
"1326","Shining-green"
"1327","Shiny"
"1328","Shore"
"1329","Short-billed"
"1330","Short-crested"
"1331","Short-eared"
"1332","Short-tailed"
"1333","Short-toed"
"1334","Shrike"
"1335","Shy"
"1336","Siberian"
"1337","Sibilant"
"1338","Sick's"
"1339","Sickle-winged"
"1340","Sierra"
"1341","Sierran"
"1342","Silky"
"1343","Silver"
"1344","Silver-backed"
"1345","Silver-beaked"
"1346","Silver-crowned"
"1347","Silver-eared"
"1348","Silver-throated"
"1349","Silvery"
"1350","Silvery-cheeked"
"1351","Silvery-throated"
"1352","Sinaloa"
"1353","Sind"
"1354","Singing"
"1355","Sirkeer"
"1356","Slate-colored"
"1357","Slate-headed"
"1358","Slate-throated"
"1359","Slaty"
"1360","Slaty-backed"
"1361","Slaty-breasted"
"1362","Slaty-capped"
"1363","Slaty-legged"
"1364","Slaty-tailed"
"1365","Slender"
"1366","Slender-billed"
"1367","Slender-footed"
"1368","Small"
"1369","Small-billed"
"1370","Smith's"
"1371","Smoke-colored"
"1372","Smoky"
"1373","Smoky-brown"
"1374","Smooth-billed"
"1375","Snail"
"1376","Snake"
"1377","Snow"
"1378","Snowy"
"1379","Snowy-bellied"
"1380","Snowy-browed"
"1381","Snowy-crowned"
"1382","Snowy-throated"
"1383","Social"
"1384","Socotra"
"1385","Solitary"
"1386","Sombre"
"1387","Song"
"1388","Sooty"
"1389","Sooty-capped"
"1390","Sooty-crowned"
"1391","Sooty-fronted"
"1392","Sooty-headed"
"1393","Souimanga"
"1394","South"
"1395","Southern"
"1396","Spangled"
"1397","Spanish"
"1398","Sparkling"
"1399","Sparkling-tailed"
"1400","Sparrow"
"1401","Speckle-breasted"
"1402","Speckle-faced"
"1403","Speckled"
"1404","Spectacled"
"1405","Speke's"
"1406","Spiny-cheeked"
"1407","Spix's"
"1408","Splendid"
"1409","Spoon-billed"
"1410","Spot-backed"
"1411","Spot-billed"
"1412","Spot-breasted"
"1413","Spot-crowned"
"1414","Spot-flanked"
"1415","Spot-throated"
"1416","Spot-winged"
"1417","Spotless"
"1418","Spotted"
"1419","Sprague's"
"1420","Spruce"
"1421","Spur-winged"
"1422","Squacco"
"1423","Squamate"
"1424","Square-tailed"
"1425","Squatter"
"1426","Squirrel"
"1427","Star-throated"
"1428","Steamer"
"1429","Steely-vented"
"1430","Steere's"
"1431","Steller's"
"1432","Steppe"
"1433","Stilt"
"1434","Stock"
"1435","Stolid"
"1436","Stork-billed"
"1437","Stout-billed"
"1438","Straight-billed"
"1439","Straneck's"
"1440","Straw-necked"
"1441","Streak-backed"
"1442","Streak-breasted"
"1443","Streak-capped"
"1444","Streak-chested"
"1445","Streak-fronted"
"1446","Streak-headed"
"1447","Streak-necked"
"1448","Streak-throated"
"1449","Streaked"
"1450","Streaky"
"1451","Streaky-headed"
"1452","Streamer-tailed"
"1453","Striated"
"1454","Strickland's"
"1455","Striolated"
"1456","Stripe-backed"
"1457","Stripe-breasted"
"1458","Stripe-cheeked"
"1459","Stripe-chested"
"1460","Stripe-crowned"
"1461","Stripe-faced"
"1462","Stripe-headed"
"1463","Stripe-necked"
"1464","Stripe-sided"
"1465","Stripe-throated"
"1466","Striped"
"1467","Strong-billed"
"1468","Stubble"
"1469","Styan's"
"1470","Stygian"
"1471","Subalpine"
"1472","Subtropical"
"1473","Sudan"
"1474","Suiriri"
"1475","Sulphur-bearded"
"1476","Sulphur-bellied"
"1477","Sulphur-breasted"
"1478","Sulphur-crested"
"1479","Sulphur-rumped"
"1480","Sulphur-throated"
"1481","Sulphury"
"1482","Sultan"
"1483","Summer"
"1484","Sunda"
"1485","Superb"
"1486","Superciliaried"
"1487","Superciliated"
"1488","Surf"
"1489","Surucua"
"1490","Swainson's"
"1491","Swallow"
"1492","Swallow-tailed"
"1493","Swallow-winged"
"1494","Swamp"
"1495","Swan"
"1496","Swee"
"1497","Swift"
"1498","Swinhoe's"
"1499","Sword-billed"
"1500","Sykes's"
"1501","Syrian"
"1502","Tacazze"
"1503","Taiga"
"1504","Taiwan"
"1505","Tambourine"
"1506","Tanimbar"
"1507","Tasmanian"
"1508","Tataupa"
"1509","Tawny"
"1510","Tawny-bellied"
"1511","Tawny-capped"
"1512","Tawny-crested"
"1513","Tawny-crowned"
"1514","Tawny-faced"
"1515","Tawny-flanked"
"1516","Tawny-headed"
"1517","Tawny-shouldered"
"1518","Temminck's"
"1519","Tennessee"
"1520","Terek"
"1521","Terrestrial"
"1522","Thekla's"
"1523","Thick"
"1524","Thick-billed"
"1525","Thicket"
"1526","Thorn-tailed"
"1527","Three-banded"
"1528","Three-striped"
"1529","Three-toed"
"1530","Thrush"
"1531","Thrush-like"
"1532","Tickell's"
"1533","Ticking"
"1534","Tiger"
"1535","Tit"
"1536","Tit-like"
"1537","Toco"
"1538","Tody"
"1539","Topknot"
"1540","Torrent"
"1541","Torresian"
"1542","Tourmaline"
"1543","Townsend's"
"1544","Transvolcanic"
"1545","Tree"
"1546","Tricolored"
"1547","Trilling"
"1548","Trinidad"
"1549","Tristram's"
"1550","Tropical"
"1551","Trumpeter"
"1552","Tufted"
"1553","Tui"
"1554","Tumbes"
"1555","Tundra"
"1556","Turkey"
"1557","Turquoise"
"1558","Turquoise-browed"
"1559","Turquoise-fronted"
"1560","Turtle"
"1561","Tuxtla"
"1562","Two-banded"
"1563","Two-barred"
"1564","Tyrant"
"1565","Tyrian"
"1566","Tytler's"
"1567","Ultramarine"
"1568","Undulated"
"1569","Unicolored"
"1570","Uniform"
"1571","Upcher's"
"1572","Upland"
"1573","Ural"
"1574","Urubamba"
"1575","Van"
"1576","Variable"
"1577","Varied"
"1578","Variegated"
"1579","Varzea"
"1580","Vasa"
"1581","Vaux's"
"1582","Velvet"
"1583","Velvet-fronted"
"1584","Venezuelan"
"1585","Verditer"
"1586","Vermilion"
"1587","Vernal"
"1588","Verreaux's"
"1589","Versicolored"
"1590","Vervain"
"1591","Vesper"
"1592","Victoria's"
"1593","Victorin's"
"1594","Vieillot's"
"1595","Vigors's"
"1596","Village"
"1597","Vinous-throated"
"1598","Violaceous"
"1599","Violet"
"1600","Violet-backed"
"1601","Violet-bellied"
"1602","Violet-capped"
"1603","Violet-crowned"
"1604","Violet-fronted"
"1605","Violet-green"
"1606","Violet-headed"
"1607","Violet-throated"
"1608","Virginia"
"1609","Virginia's"
"1610","Wagtail"
"1611","Wahlberg's"
"1612","Wandering"
"1613","Warbling"
"1614","Ward's"
"1615","Water"
"1616","Wattle"
"1617","Wattled"
"1618","Wedge-billed"
"1619","Wedge-tailed"
"1620","Welcome"
"1621","West"
"1622","Western"
"1623","Weyns's"
"1624","Whiskered"
"1625","Whistling"
"1626","White"
"1627","White-backed"
"1628","White-banded"
"1629","White-barred"
"1630","White-bearded"
"1631","White-bellied"
"1632","White-breasted"
"1633","White-browed"
"1634","White-capped"
"1635","White-cheeked"
"1636","White-chested"
"1637","White-chinned"
"1638","White-collared"
"1639","White-crested"
"1640","White-crowned"
"1641","White-eared"
"1642","White-edged"
"1643","White-eyed"
"1644","White-faced"
"1645","White-flanked"
"1646","White-fringed"
"1647","White-fronted"
"1648","White-gaped"
"1649","White-headed"
"1650","White-lined"
"1651","White-lored"
"1652","White-naped"
"1653","White-necked"
"1654","White-nest"
"1655","White-plumed"
"1656","White-quilled"
"1657","White-ruffed"
"1658","White-rumped"
"1659","White-shouldered"
"1660","White-sided"
"1661","White-spectacled"
"1662","White-spotted"
"1663","White-starred"
"1664","White-striped"
"1665","White-tailed"
"1666","White-thighed"
"1667","White-throated"
"1668","White-tipped"
"1669","White-tufted"
"1670","White-vented"
"1671","White-wedged"
"1672","White-whiskered"
"1673","White-winged"
"1674","White's"
"1675","Whitehead's"
"1676","Whooper"
"1677","Whooping"
"1678","Wild"
"1679","Williamson's"
"1680","Willow"
"1681","Wilson's"
"1682","Winding"
"1683","Wine-throated"
"1684","Wing-banded"
"1685","Wing-barred"
"1686","Winter"
"1687","Wire-crested"
"1688","Wire-tailed"
"1689","Wompoo"
"1690","Wonga"
"1691","Wood"
"1692","Woodchat"
"1693","Woodhouse's"
"1694","Woodland"
"1695","Worm-eating"
"1696","Wren"
"1697","Wren-like"
"1698","Yelkouan"
"1699","Yellow"
"1700","Yellow-backed"
"1701","Yellow-bellied"
"1702","Yellow-billed"
"1703","Yellow-breasted"
"1704","Yellow-browed"
"1705","Yellow-cheeked"
"1706","Yellow-chevroned"
"1707","Yellow-chinned"
"1708","Yellow-crested"
"1709","Yellow-crowned"
"1710","Yellow-eared"
"1711","Yellow-eyed"
"1712","Yellow-faced"
"1713","Yellow-footed"
"1714","Yellow-fronted"
"1715","Yellow-green"
"1716","Yellow-headed"
"1717","Yellow-hooded"
"1718","Yellow-legged"
"1719","Yellow-margined"
"1720","Yellow-necked"
"1721","Yellow-olive"
"1722","Yellow-plumed"
"1723","Yellow-rumped"
"1724","Yellow-shouldered"
"1725","Yellow-spotted"
"1726","Yellow-tailed"
"1727","Yellow-throated"
"1728","Yellow-tufted"
"1729","Yellow-vented"
"1730","Yellow-wattled"
"1731","Yellow-whiskered"
"1732","Yellow-winged"
"1733","Yellowish"
"1734","Yellowish-bellied"
"1735","Yucatan"
"1736","Yungas"
"1737","Zealand"
"1738","Zebra"
"1739","Zenaida"
"1740","Zitting"
"1741","Zone-tailed"
