"","descriptors"
"310","Carrion"
"311","Caspian"
"312","Cassin's"
"313","Cattle"
"314","Cave"
"315","Ceara"
"316","Cedar"
"317","Cerulean"
"318","Cetti's"
"319","Chabert"
"320","Chaco"
"321","Chalk-browed"
"322","Changeable"
"323","Channel-billed"
"324","Chat"
"325","Checker-throated"
"326","Checkered"
"327","Chestnut"
"328","Chestnut-backed"
"329","Chestnut-bellied"
"330","Chestnut-breasted"
"331","Chestnut-capped"
"332","Chestnut-cheeked"
"333","Chestnut-collared"
"334","Chestnut-crested"
"335","Chestnut-crowned"
"336","Chestnut-eared"
"337","Chestnut-fronted"
"338","Chestnut-headed"
"339","Chestnut-hooded"
"340","Chestnut-rumped"
"341","Chestnut-sided"
"342","Chestnut-tailed"
"343","Chestnut-throated"
"344","Chestnut-vented"
"345","Chestnut-winged"
"346","Chiguanco"
"347","Chihuahuan"
"348","Chilean"
"349","Chiloe"
"350","Chimney"
"351","Chinese"
"352","Chinspot"
"353","Chipping"
"354","Chivi"
"355","Choco"
"356","Chopi"
"357","Chorister"
"358","Chotoy"
"359","Chucao"
"360","Cinereous"
"361","Cinnamon"
"362","Cinnamon-bellied"
"363","Cinnamon-breasted"
"364","Cinnamon-chested"
"365","Cinnamon-rumped"
"366","Cirl"
"367","Citreoline"
"368","Citril"
"369","Citrine"
"370","Citron-bellied"
"371","Clamorous"
"372","Clapper"
"373","Clark's"
"374","Claudia's"
"375","Clay-colored"
"376","Cliff"
"377","Coal"
"378","Coastal"
"379","Cobalt-rumped"
"380","Cobalt-winged"
"381","Cocoa"
"382","Cocoi"
"383","Coconut"
"384","Colima"
"385","Collared"
"386","Colombian"
"387","Comb"
"388","Comb-crested"
"389","Common"
"390","Connecticut"
"391","Cook's"
"392","Cooper's"
"393","Copper"
"394","Copper-rumped"
"395","Copper-throated"
"396","Coppersmith"
"397","Coppery-bellied"
"398","Coraya"
"399","Cordilleran"
"400","Cordoba"
"401","Corn"
"402","Correndera"
"403","Corsican"
"404","Cory's"
"405","Coscoroba"
"406","Costa's"
"407","Cotton"
"408","Couch's"
"409","Crab"
"410","Crag"
"411","Crane"
"412","Cream-backed"
"413","Cream-colored"
"414","Cream-vented"
"415","Cream-winged"
"416","Creamy-bellied"
"417","Creamy-crested"
"418","Creamy-rumped"
"419","Crescent"
"420","Crescent-chested"
"421","Crested"
"422","Cretzschmar's"
"423","Crimson"
"424","Crimson-backed"
"425","Crimson-breasted"
"426","Crimson-collared"
"427","Crimson-crested"
"428","Crimson-fronted"
"429","Crimson-headed"
"430","Crimson-mantled"
"431","Crimson-rumped"
"432","Crissal"
"433","Croaking"
"434","Crow-billed"
"435","Crowned"
"436","Cryptic"
"437","Cuban"
"438","Cuckoo"
"439","Curl-crested"
"440","Curlew"
"441","Curve-billed"
"442","Cuzco"
"443","Cyprus"
"444","D'Arnaud's"
"445","d'Orbigny's"
"446","Dark"
"447","Dark-bellied"
"448","Dark-billed"
"449","Dark-breasted"
"450","Dark-eyed"
"451","Dark-faced"
"452","Dark-fronted"
"453","Dark-necked"
"454","Dark-sided"
"455","Dartford"
"456","Daurian"
"457","David's"
"458","Dead"
"459","Deep-blue"
"460","Des"
"461","Desert"
"462","Diademed"
"463","Diamond"
"464","Dideric"
"465","Dinelli's"
"466","Diuca"
"467","Dolphin"
"468","Dot-winged"
"469","Double-banded"
"470","Double-barred"
"471","Double-collared"
"472","Double-crested"
"473","Double-striped"
"474","Double-toothed"
"475","Downy"
"476","Drab"
"477","Drab-breasted"
"478","Drakensberg"
"479","Drongo"
"480","Dull-colored"
"481","Dull-mantled"
"482","Dusky"
"483","Dusky-capped"
"484","Dusky-cheeked"
"485","Dusky-faced"
"486","Dusky-green"
"487","Dusky-headed"
"488","Dusky-legged"
"489","Dusky-tailed"
"490","Dwarf"
"491","Eagle"
"492","Eared"
"493","Eastern"
"494","Ecuadorian"
"495","Egyptian"
"496","Elegant"
"497","Elf"
"498","Emerald"
"499","Emerald-chinned"
"500","Emerald-spotted"
"501","Epaulet"
"502","Erckel's"
"503","Ethiopian"
"504","Euler's"
"505","Eurasian"
"506","European"
"507","Evening"
"508","Eye-ringed"
"509","Eyebrowed"
"510","Fairy"
"511","Falcated"
"512","Familiar"
"513","Fan-tailed"
"514","Far"
"515","Fasciated"
"516","Fawn-breasted"
"517","Ferruginous"
"518","Festive"
"519","Field"
"520","Fiery-capped"
"521","Fine-barred"
"522","Finsch's"
"523","Fire"
"524","Fire-breasted"
"525","Fire-eyed"
"526","Fire-fronted"
"527","Fiscal"
"528","Fischer's"
"529","Fish"
"530","Flame"
"531","Flame-colored"
"532","Flame-crested"
"533","Flame-faced"
"534","Flame-fronted"
"535","Flame-rumped"
"536","Flame-throated"
"537","Flaming"
"538","Flammulated"
"539","Flavescent"
"540","Flightless"
"541","Florida"
"542","Fluttering"
"543","Flycatcher"
"544","Flying"
"545","Foliage"
"546","Forbes-Watson's"
"547","Forest"
"548","Fork-tailed"
"549","Forster's"
"550","Forty-spotted"
"551","Fox"
"552","Franklin's"
"553","Freckle-breasted"
"554","Freckled"
"555","Fruit"
"556","Fulvous"
"557","Fulvous-breasted"
"558","Fulvous-crested"
"559","Fulvous-faced"
"560","Fulvous-headed"
"561","Fulvous-vented"
"562","Fuscous"
"563","Gambel's"
"564","Gang-gang"
"565","Garden"
"566","Garnet-throated"
"567","Gartered"
"568","Geoffroy's"
"569","Germain's"
"570","Giant"
"571","Gila"
"572","Gilbert's"
"573","Gilded"
"574","Gilt-edged"
"575","Glacier"
"576","Glaucous"
"577","Glaucous-blue"
"578","Glaucous-winged"
"579","Glittering-bellied"
"580","Glittering-throated"
"581","Glossy"
"582","Glossy-black"
"583","Glowing"
"584","Godlewski's"
"585","Goeldi's"
"586","Gold-whiskered"
"587","Golden"
"588","Golden-backed"
"589","Golden-bellied"
"590","Golden-billed"
"591","Golden-breasted"
"592","Golden-browed"
"593","Golden-capped"
"594","Golden-cheeked"
"595","Golden-chevroned"
"596","Golden-collared"
"597","Golden-crowned"
"598","Golden-eared"
"599","Golden-faced"
"600","Golden-fronted"
"601","Golden-green"
"602","Golden-headed"
"603","Golden-hooded"
"604","Golden-naped"
"605","Golden-olive"
"606","Golden-rumped"
"607","Golden-shouldered"
"608","Golden-tailed"
"609","Golden-winged"
"610","Goliath"
"611","Gorgeted"
"612","Gould's"
"613","Grace's"
"614","Graceful"
"615","Grass"
"616","Grass-green"
"617","Grasshopper"
"618","Grassland"
"619","Gray"
