"194","Moustached Brushfinch"
"195","Ochre-breasted Brushfinch"
"196","Slaty Brushfinch"
"197","Pale-naped Brushfinch"
"198","Rusty-bellied Brushfinch"
"199","Cuzco Brushfinch"
"200","Black-faced Brushfinch"
"201","Black-crowned Palm-Tanager"
"202","Bahama Oriole"
"203","Scrub Blackbird"
"204","Carib Grackle"
"205","Grayish Baywing"
"206","Yellow-rumped Marshbird"
"207","Brown-and-yellow Marshbird"
"208","Worm-eating Warbler"
"209","Louisiana Waterthrush"
"210","Northern Waterthrush"
"211","Cape May Warbler"
"212","Tropical Parula"
"213","Bay-breasted Warbler"
"214","Palm Warbler"
"215","Riverbank Warbler"
"216","Palm Tanager"
"217","Scrub Tanager"
"218","Bay-headed Tanager"
"219","Glacier Finch"
"220","Long-tailed Reed Finch"
"221","Yellow-throated Scrubwren"
