"","Family_Sci","Family_English"
"144","Stenostiridae","(Fairy Flycatchers)"
"145","Paridae","(Tits, Chickadees, and Titmice)"
"146","Remizidae","(Penduline-Tits)"
"147","Alaudidae","(Larks)"
"148","Panuridae","(Bearded Reedling)"
"149","Macrosphenidae","(African Warblers)"
"150","Cisticolidae","(Cisticolas and Allies)"
"151","Acrocephalidae","(Reed Warblers and Allies)"
"152","Locustellidae","(Grassbirds and Allies)"
"153","Donacobiidae","(Donacobius)"
"154","Bernieridae","(Malagasy Warblers)"
"155","Pnoepygidae","(Cupwings)"
"156","Hirundinidae","(Swallows)"
"157","Pycnonotidae","(Bulbuls)"
"158","Phylloscopidae","(Leaf Warblers)"
"159","Scotocercidae","(Bush Warblers and Allies)"
"160","Aegithalidae","(Long-tailed Tits)"
"161","Sylviidae","(Sylviid Warblers, Parrotbills, and Allies)"
"162","Zosteropidae","(White-eyes, Yuhinas, and Allies)"
"163","Timaliidae","(Tree-Babblers, Scimitar-Babblers, and Allies)"
"164","Pellorneidae","(Ground Babblers and Allies)"
"165","Leiothrichidae","(Laughingthrushes and Allies)"
"166","Regulidae","(Kinglets)"
"167","Sittidae","(Nuthatches)"
"168","Certhiidae","(Treecreepers)"
"169","Polioptilidae","(Gnatcatchers)"
"170","Troglodytidae","(Wrens)"
"171","Cinclidae","(Dippers)"
"172","Buphagidae","(Oxpeckers)"
"173","Sturnidae","(Starlings)"
"174","Mimidae","(Mockingbirds and Thrashers)"
"175","Turdidae","(Thrushes and Allies)"
"176","Muscicapidae","(Old World Flycatchers)"
"177","Bombycillidae","(Waxwings)"
"178","Ptiliogonatidae","(Silky-flycatchers)"
"179","Dulidae","(Palmchat)"
"180","Promeropidae","(Sugarbirds)"
"181","Dicaeidae","(Flowerpeckers)"
"182","Nectariniidae","(Sunbirds and Spiderhunters)"
"183","Irenidae","(Fairy-bluebirds)"
"184","Chloropseidae","(Leafbirds)"
"185","Peucedramidae","(Olive Warbler)"
"186","Ploceidae","(Weavers and Allies)"
"187","Estrildidae","(Waxbills and Allies)"
"188","Viduidae","(Indigobirds)"
"189","Prunellidae","(Accentors)"
