"","Species_Jetz","Species_eBird","Species_BirdLife","Family_eBird","CommonName_eBird","aveUAI","SciName_MUTI","MUTIscore","SciName_UN","Urban","Family_Sci","Family_English","Coastal","Notes","Diet.Vfish","Diet.5Cat","ForStrat.watbelowsurf","ForStrat.wataroundsurf","PelagicSpecialist"
"39","Cinclus mexicanus","Cinclus mexicanus","Cinclus mexicanus","Cinclidae (Dippers)","American Dipper",1.37776582816667,"Cinclus mexicanus",-1.402856322,"Cinclus mexicanus","U","Cinclidae","(Dippers)","No","",10,"Invertebrate",40,40,0
"40","Cinclus leucocephalus","Cinclus leucocephalus","Cinclus leucocephalus","Cinclidae (Dippers)","White-capped Dipper",0.308276424,NA,NA,NA,NA,"Cinclidae","(Dippers)","No","",0,"Invertebrate",40,40,0
"41","Acridotheres tristis","Acridotheres tristis","Acridotheres tristis","Sturnidae (Starlings)","Common Myna",2.39350933017857,NA,NA,NA,NA,"Sturnidae","(Starlings)","No","",10,"Omnivore",0,0,0
"42","Turdus pelios","Turdus pelios","Turdus pelios","Turdidae (Thrushes and Allies)","African Thrush",1.296060074,NA,NA,NA,NA,"Turdidae","(Thrushes and Allies)","No","",10,"Omnivore",0,0,0
"43","Erithacus rubecula","Erithacus rubecula","Erithacus rubecula","Muscicapidae (Old World Flycatchers)","European Robin",1.99613100536,NA,NA,NA,NA,"Muscicapidae","(Old World Flycatchers)","No","",10,"Omnivore",0,0,0
"44","Erithacus komadori","Larvivora komadori","Larvivora komadori","Muscicapidae (Old World Flycatchers)","Ryukyu Robin",0.209873551,NA,NA,NA,NA,"Muscicapidae","(Old World Flycatchers)","No","",10,"Omnivore",0,0,0
"45","Quiscalus quiscula","Quiscalus quiscula","Quiscalus quiscula","Icteridae (Troupials and Allies)","Common Grackle",2.141663854,"Quiscalus quiscula",1.738457268,NA,NA,"Icteridae","(Troupials and Allies)","No","",10,"Omnivore",0,0,0
"46","Quiscalus major","Quiscalus major","Quiscalus major","Icteridae (Troupials and Allies)","Boat-tailed Grackle",1.9274866646,"Quiscalus major",0.773005352,NA,NA,"Icteridae","(Troupials and Allies)","No","",10,"Omnivore",0,0,0
"47","Anser fabalis","Anser fabalis","Anser fabalis","Anatidae (Ducks, Geese, and Waterfowl)","Taiga Bean-Goose",1.70866929575,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","No","freshwater lakes ",0,"PlantSeed",0,20,0
"48","Aix sponsa","Aix sponsa","Aix sponsa","Anatidae (Ducks, Geese, and Waterfowl)","Wood Duck",1.95186535484,"Aix sponsa",1.743509213,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","No","freshwater ",0,"PlantSeed",0,80,0
"49","Anas puna","Spatula puna","Spatula puna","Anatidae (Ducks, Geese, and Waterfowl)","Puna Teal",0.484651279,NA,NA,NA,NA,"Anatidae","(Ducks, Geese, and Waterfowl)","No","high elevation lakes ",0,"PlantSeed",20,80,0
"50","Aramides ypecaha","Aramides ypecaha","Aramides ypecaha","Rallidae (Rails, Gallinules, and Coots)","Giant Wood-Rail",2.001981558,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","No","freshwater ",0,"Omnivore",0,30,0
"51","Aramides saracura","Aramides saracura","Aramides saracura","Rallidae (Rails, Gallinules, and Coots)","Slaty-breasted Wood-Rail",2.671109525,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","No","no mention of coastal habitat ",0,"Invertebrate",0,30,0
"52","Amaurornis olivacea","Amaurornis olivacea","Amaurornis olivacea","Rallidae (Rails, Gallinules, and Coots)","Plain Bush-hen",1.034118155,NA,NA,NA,NA,"Rallidae","(Rails, Gallinules, and Coots)","No","no mention of coastal - flooded areas (assuming from rainwater) ",0,"Omnivore",0,30,0
"53","Scolopax minor","Scolopax minor","Scolopax minor","Scolopacidae (Sandpipers and Allies)","American Woodcock",1.3626664197,"Scolopax minor",0.532789862,NA,NA,"Scolopacidae","(Sandpipers and Allies)","No","no mention of coastal habitat ",0,"Invertebrate",0,20,0
"54","Tigrisoma fasciatum","Tigrisoma fasciatum","Tigrisoma fasciatum","Ardeidae (Herons, Egrets, and Bitterns)","Fasciated Tiger-Heron",0.5742820645,NA,NA,NA,NA,"Ardeidae","(Herons, Egrets, and Bitterns)","No","no mention of coastal habitat ",50,"Omnivore",0,50,0
"55","Halcyon senegalensis","Halcyon senegalensis","Halcyon senegalensis","Alcedinidae (Kingfishers)","Woodland Kingfisher",1.035756385,NA,NA,NA,NA,"Alcedinidae","(Kingfishers)","No","no mention of coastal ",0,"Invertebrate",0,10,0
"56","Acrocephalus agricola","Acrocephalus agricola","Acrocephalus agricola","Acrocephalidae (Reed Warblers and Allies)","Paddyfield Warbler",1.632665524,NA,NA,"Acrocephalus agricola","N","Acrocephalidae","(Reed Warblers and Allies)","No","",0,"Invertebrate",0,50,0
"57","Acrocephalus griseldis","Acrocephalus griseldis","Acrocephalus griseldis","Acrocephalidae (Reed Warblers and Allies)","Basra Reed Warbler",NA,NA,NA,"Acrocephalus griseldis","N","Acrocephalidae","(Reed Warblers and Allies)","No","",0,"Invertebrate",0,20,0
"58","Acrocephalus rufescens","Acrocephalus rufescens","Acrocephalus rufescens","Acrocephalidae (Reed Warblers and Allies)","Greater Swamp Warbler",1.655700821,NA,NA,NA,NA,"Acrocephalidae","(Reed Warblers and Allies)","No","",0,"Invertebrate",0,20,0
