,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,Family_English,Coastal,Notes_Family,Notes_Species
249,Calidris tenuirostris,Calidris tenuirostris,Calidris tenuirostris,Scolopacidae (Sandpipers and Allies),Great Knot,1.414995441,NA,NA,Calidris tenuirostris,N,Scolopacidae,(Sandpipers and Allies),Yes,,NA
147,Charadrius leschenaultii,Charadrius leschenaultii,Charadrius leschenaultii,Charadriidae (Plovers and Lapwings),Greater Sand-Plover,1.148637265,NA,NA,Charadrius leschenaultii,N,Charadriidae,(Plovers and Lapwings),Yes,,NA
133,Cathartes melambrotus,Cathartes melambrotus,Cathartes melambrotus,Cathartidae (New World Vultures),Greater Yellow-headed Vulture,0.667125257,NA,NA,NA,NA,Cathartidae,(New World Vultures),Yes,,NA
262,Bostrychia hagedash,Bostrychia hagedash,Bostrychia hagedash,Threskiornithidae (Ibises and Spoonbills),Hadada Ibis,1.763055619,NA,NA,NA,NA,Threskiornithidae,(Ibises and Spoonbills),Yes,some in coastal lagoons,NA
83,Parabuteo unicinctus,Parabuteo unicinctus,Parabuteo unicinctus,"Accipitridae (Hawks, Eagles, and Kites)",Harris's Hawk,2.241553952,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
55,Circus cyaneus,Circus cyaneus,Circus cyaneus,"Accipitridae (Hawks, Eagles, and Kites)",Hen Harrier,0.836440845,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
153,Thinornis rubricollis,Thinornis cucullatus,Thinornis cucullatus,Charadriidae (Plovers and Lapwings),Hooded Plover,0.356058521,NA,NA,NA,NA,Charadriidae,(Plovers and Lapwings),Yes,,NA
19,Necrosyrtes monachus,Necrosyrtes monachus,Necrosyrtes monachus,"Accipitridae (Hawks, Eagles, and Kites)",Hooded Vulture,1.506793588,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
11,Chondrohierax uncinatus,Chondrohierax uncinatus,Chondrohierax uncinatus,"Accipitridae (Hawks, Eagles, and Kites)",Hook-billed Kite,1.552151596,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
38,Aquila heliaca,Aquila heliaca,Aquila heliaca,"Accipitridae (Hawks, Eagles, and Kites)",Imperial Eagle,1.216922654,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
33,Aquila hastata,Clanga hastata,Clanga hastata,"Accipitridae (Hawks, Eagles, and Kites)",Indian Spotted Eagle,1.490141911,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
117,Burhinus oedicnemus,Burhinus indicus,Burhinus indicus,Burhinidae (Thick-knees),Indian Thick-knee,2.0999885,NA,NA,NA,NA,Burhinidae,(Thick-knees),Yes,,NA
105,Buteo rufofuscus,Buteo rufofuscus,Buteo rufofuscus,"Accipitridae (Hawks, Eagles, and Kites)",Jackal Buzzard,0.92270469,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
67,Accipiter gularis,Accipiter gularis,Accipiter gularis,"Accipitridae (Hawks, Eagles, and Kites)",Japanese Sparrowhawk,2.472802841,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
15,Aviceda jerdoni,Aviceda jerdoni,Aviceda jerdoni,"Accipitridae (Hawks, Eagles, and Kites)",Jerdon's Baza,3.713046242,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
215,Erythropygia coryphaeus,Cercotrichas coryphoeus,Tychaedon coryphoeus,Muscicapidae (Old World Flycatchers),Karoo Scrub-Robin,0.488238414,NA,NA,NA,NA,Muscicapidae,(Old World Flycatchers),Yes,,coastal scrub and sandy beaches
150,Charadrius vociferus,Charadrius vociferus,Charadrius vociferus,Charadriidae (Plovers and Lapwings),Killdeer,1.597917689,Charadrius vociferus,1.751377692,Charadrius vociferus,U,Charadriidae,(Plovers and Lapwings),Yes,,NA
130,Sarcoramphus papa,Sarcoramphus papa,Sarcoramphus papa,Cathartidae (New World Vultures),King Vulture,0.215717289,NA,NA,NA,NA,Cathartidae,(New World Vultures),Yes,,NA
122,Calcarius lapponicus,Calcarius lapponicus,Calcarius lapponicus,Calcariidae (Longspurs and Snow Buntings),Lapland Longspur,0.854378095,NA,NA,NA,NA,Calcariidae,(Longspurs and Snow Buntings),Yes,beaches / concentrate near coastlines,NA
252,Gallinago hardwickii,Gallinago hardwickii,Gallinago hardwickii,Scolopacidae (Sandpipers and Allies),Latham's Snipe,1.640906998,NA,NA,NA,NA,Scolopacidae,(Sandpipers and Allies),Yes,,NA
163,Herpetotheres cachinnans,Herpetotheres cachinnans,Herpetotheres cachinnans,Falconidae (Falcons and Caracaras),Laughing Falcon,0.811707787,NA,NA,NA,NA,Falconidae,(Falcons and Caracaras),Yes,,NA
168,Falco naumanni,Falco naumanni,Falco naumanni,Falconidae (Falcons and Caracaras),Lesser Kestrel,1.642719677,NA,NA,Falco naumanni,U,Falconidae,(Falcons and Caracaras),Yes,,NA
32,Aquila pomarina,Clanga pomarina,Clanga pomarina,"Accipitridae (Hawks, Eagles, and Kites)",Lesser Spotted Eagle,1.800533558,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
132,Cathartes burrovianus,Cathartes burrovianus,Cathartes burrovianus,Cathartidae (New World Vultures),Lesser Yellow-headed Vulture,1.855225173,NA,NA,NA,NA,Cathartidae,(New World Vultures),Yes,,NA
63,Accipiter brevipes,Accipiter brevipes,Accipiter brevipes,"Accipitridae (Hawks, Eagles, and Kites)",Levant Sparrowhawk,2.961498189,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
246,Numenius minutus,Numenius minutus,Numenius minutus,Scolopacidae (Sandpipers and Allies),Little Curlew,NA,NA,NA,Numenius minutus,U,Scolopacidae,(Sandpipers and Allies),Yes,,NA
36,Hieraaetus morphnoides,Hieraaetus morphnoides,Hieraaetus morphnoides,"Accipitridae (Hawks, Eagles, and Kites)",Little Eagle,1.237476805,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
208,Bradypterus baboecala,Bradypterus baboecala,Bradypterus baboecala,Locustellidae (Grassbirds and Allies),Little Rush Warbler,1.757380236,NA,NA,NA,NA,Locustellidae,(Grassbirds and Allies),Yes,"swamps and marshes, but no mention of coastal",estuaries
43,Kaupifalco monogrammicus,Kaupifalco monogrammicus,Kaupifalco monogrammicus,"Accipitridae (Hawks, Eagles, and Kites)",Lizard Buzzard,0.97753818,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
103,Buteo rufinus,Buteo rufinus,Buteo rufinus,"Accipitridae (Hawks, Eagles, and Kites)",Long-legged Buzzard,1.23005876,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
51,Circus buffoni,Circus buffoni,Circus buffoni,"Accipitridae (Hawks, Eagles, and Kites)",Long-winged Harrier,1.645763346,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
102,Buteo brachypterus,Buteo brachypterus,Buteo brachypterus,"Accipitridae (Hawks, Eagles, and Kites)",Madagascar Buzzard,0.050486367,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
110,Acrocephalus newtoni,Acrocephalus newtoni,Acrocephalus newtoni,Acrocephalidae (Reed Warblers and Allies),Madagascar Swamp Warbler,1.437056849,NA,NA,NA,NA,Acrocephalidae,(Reed Warblers and Allies),Yes,mention of marsh --> did not explicitely say coastal… ,mangroves
196,Haematopus leucopodus,Haematopus leucopodus,Haematopus leucopodus,Haematopodidae (Oystercatchers),Magellanic Oystercatcher,1.068706593,NA,NA,NA,NA,Haematopodidae,(Oystercatchers),Yes,,NA
106,Nesillas typica,Nesillas typica,Nesillas typica,Acrocephalidae (Reed Warblers and Allies),Malagasy Brush-Warbler,1.125396017,NA,NA,NA,NA,Acrocephalidae,(Reed Warblers and Allies),Yes,mention of marsh --> did not explicitely say coastal… ,coastal thickets
171,Falco newtoni,Falco newtoni,Falco newtoni,Falconidae (Falcons and Caracaras),Malagasy Kestrel,1.618325901,NA,NA,NA,NA,Falconidae,(Falcons and Caracaras),Yes,,NA
216,Cyornis rufigastra,Cyornis rufigastra,Cyornis rufigastra,Muscicapidae (Old World Flycatchers),Mangrove Blue Flycatcher,1.582822824,NA,NA,NA,NA,Muscicapidae,(Old World Flycatchers),Yes,,coastal mangroves
161,Coccyzus minor,Coccyzus minor,Coccyzus minor,Cuculidae (Cuckoos),Mangrove Cuckoo,1.238939655,NA,NA,Coccyzus minor,N,Cuculidae,(Cuckoos),Yes,,
245,Rhipidura phasiana,Rhipidura phasiana,Rhipidura phasiana,Rhipiduridae (Fantails),Mangrove Fantail,NA,NA,NA,Rhipidura phasiana,N,Rhipiduridae,(Fantails),Yes,,mangroves
4,Gerygone levigaster,Gerygone levigaster,Gerygone levigaster,Acanthizidae (Thornbills and Allies),Mangrove Gerygone,1.596145523,NA,NA,NA,NA,Acanthizidae,(Thornbills and Allies),Yes,,mangroves
211,Lichenostomus fasciogularis,Gavicalis fasciogularis,Gavicalis fasciogularis,Meliphagidae (Honeyeaters),Mangrove Honeyeater,1.325490619,NA,NA,NA,NA,Meliphagidae,(Honeyeaters),Yes,,mangroves and estuaries
234,Pitta megarhyncha,Pitta megarhyncha,Pitta megarhyncha,Pittidae (Pittas),Mangrove Pitta,2.790469397,NA,NA,NA,NA,Pittidae,(Pittas),Yes,,mangroves
230,Eopsaltria pulverulenta,Eopsaltria pulverulenta,Peneoenanthe pulverulenta,Petroicidae (Australasian Robins),Mangrove Robin,1.106217408,NA,NA,NA,NA,Petroicidae,(Australasian Robins),Yes,,mangroves
198,Tachycineta albilinea,Tachycineta albilinea,Tachycineta albilinea,Hirundinidae (Swallows),Mangrove Swallow,1.380469309,NA,NA,NA,NA,Hirundinidae,(Swallows),Yes,,mangroves and coastal beaches
273,Vireo pallens,Vireo pallens,Vireo pallens,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Mangrove Vireo,1.019189164,NA,NA,NA,NA,Vireonidae,"(Vireos, Shrike-Babblers, and Erpornis)",Yes,,mangroves
220,Pachycephala grisola,Pachycephala cinerea,Pachycephala cinerea,Pachycephalidae (Whistlers and Allies),Mangrove Whistler,0.371219516,NA,NA,NA,NA,Pachycephalidae,(Whistlers and Allies),Yes,,mangroves
258,Stymphalornis acutirostris,Formicivora acutirostris,Formicivora acutirostris,Thamnophilidae (Typical Antbirds),Marsh Antwren,0.567328862,NA,NA,NA,NA,Thamnophilidae,(Typical Antbirds),Yes,,mangroves
108,Acrocephalus palustris,Acrocephalus palustris,Acrocephalus palustris,Acrocephalidae (Reed Warblers and Allies),Marsh Warbler,1.247421026,NA,NA,Acrocephalus palustris,U,Acrocephalidae,(Reed Warblers and Allies),Yes,mention of marsh --> did not explicitely say coastal… ,mangroves
269,Cistothorus palustris,Cistothorus palustris,Cistothorus palustris,Troglodytidae (Wrens),Marsh Wren,1.468374024,Cistothorus palustris,0.995542955,NA,NA,Troglodytidae,(Wrens),Yes,,coastal tidal salt marshes
145,Vanellus miles,Vanellus miles,Vanellus miles,Charadriidae (Plovers and Lapwings),Masked Lapwing,1.511753381,NA,NA,Vanellus miles,U,Charadriidae,(Plovers and Lapwings),Yes,,NA
176,Falco columbarius,Falco columbarius,Falco columbarius,Falconidae (Falcons and Caracaras),Merlin,1.832785331,Falco columbarius,0.512835804,Falco columbarius,U,Falconidae,(Falcons and Caracaras),Yes,,NA
46,Ictinia mississippiensis,Ictinia mississippiensis,Ictinia mississippiensis,"Accipitridae (Hawks, Eagles, and Kites)",Mississippi Kite,2.189587003,Ictinia mississippiensis,0.857122733,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
59,Circus pygargus,Circus pygargus,Circus pygargus,"Accipitridae (Hawks, Eagles, and Kites)",Montagu's Harrier,0.659669215,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
172,Falco cenchroides,Falco cenchroides,Falco cenchroides,Falconidae (Falcons and Caracaras),Nankeen Kestrel,1.106892467,NA,NA,Falco cenchroides,U,Falconidae,(Falcons and Caracaras),Yes,,NA
180,Falco novaeseelandiae,Falco novaeseelandiae,Falco novaeseelandiae,Falconidae (Falcons and Caracaras),New Zealand Falcon,0.416801126,NA,NA,NA,NA,Falconidae,(Falcons and Caracaras),Yes,,NA
127,Philesturnus carunculatus,Philesturnus rufusater,Philesturnus rufusater,Callaeidae (Wattlebirds),North Island Saddleback,0.024779848,NA,NA,NA,NA,Callaeidae,(Wattlebirds),Yes,NA,restricted to coastal forests
77,Accipiter gentilis,Accipiter gentilis,Accipiter gentilis,"Accipitridae (Hawks, Eagles, and Kites)",Northern Goshawk,1.653420419,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
56,Circus cyaneus,Circus hudsonius,Circus hudsonius,"Accipitridae (Hawks, Eagles, and Kites)",Northern Harrier,1.013043303,Circus hudsonius,-1.356633429,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
138,Vanellus vanellus,Vanellus vanellus,Vanellus vanellus,Charadriidae (Plovers and Lapwings),Northern Lapwing,0.937490545,NA,NA,Vanellus vanellus,U,Charadriidae,(Plovers and Lapwings),Yes,,NA
271,Sublegatus arenarum,Sublegatus arenarum,Sublegatus arenarum,Tyrannidae (Tyrant Flycatchers),Northern Scrub-Flycatcher,1.700597396,NA,NA,NA,NA,Tyrannidae,(Tyrant Flycatchers),Yes,,mangroves
264,Rhodopis vesper,Rhodopis vesper,Rhodopis vesper,Trochilidae (Hummingbirds),Oasis Hummingbird,0.885442531,NA,NA,NA,NA,Trochilidae,(Hummingbirds),Yes,,coastal fog vegetation
151,Charadrius veredus,Charadrius veredus,Charadrius veredus,Charadriidae (Plovers and Lapwings),Oriental Plover,NA,NA,NA,Charadrius veredus,U,Charadriidae,(Plovers and Lapwings),Yes,,NA
29,Spizaetus ornatus,Spizaetus ornatus,Spizaetus ornatus,"Accipitridae (Hawks, Eagles, and Kites)",Ornate Hawk-Eagle,0.725530997,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
70,Accipiter ovampensis,Accipiter ovampensis,Accipiter ovampensis,"Accipitridae (Hawks, Eagles, and Kites)",Ovambo Sparrowhawk,2.474986509,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
16,Aviceda subcristata,Aviceda subcristata,Aviceda subcristata,"Accipitridae (Hawks, Eagles, and Kites)",Pacific Baza,1.387799132,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
156,Chalcophaps indica,Chalcophaps longirostris,Chalcophaps longirostris,Columbidae (Pigeons and Doves),Pacific Emerald Dove,0.426471065,NA,NA,NA,NA,Columbidae,(Pigeons and Doves),Yes,,mangroves and coasral heaths 
137,Pluvialis fulva,Pluvialis fulva,Pluvialis fulva,Charadriidae (Plovers and Lapwings),Pacific Golden-Plover,1.341100179,NA,NA,NA,NA,Charadriidae,(Plovers and Lapwings),Yes,,NA
254,Megascops cooperi,Megascops cooperi,Megascops cooperi,Strigidae (Owls),Pacific Screech-Owl,1.060732466,NA,NA,NA,NA,Strigidae,(Owls),Yes,near coast but maybe not coastal? Im sure some hunt in estuarine watersheds ,mangroves
202,Hirundo tahitica,Hirundo tahitica,Hirundo tahitica,Hirundinidae (Swallows),Pacific Swallow,1.860513696,NA,NA,NA,NA,Hirundinidae,(Swallows),Yes,,rocky coasts
270,Empidonax difficilis,Empidonax difficilis,Empidonax difficilis,Tyrannidae (Tyrant Flycatchers),Pacific-slope Flycatcher,1.265451965,Empidonax difficilis,0.804310633,NA,NA,Tyrannidae,(Tyrant Flycatchers),Yes,,coastal scrub
57,Circus macrourus,Circus macrourus,Circus macrourus,"Accipitridae (Hawks, Eagles, and Kites)",Pallid Harrier,1.054599529,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
225,Dendroica palmarum,Setophaga palmarum,Setophaga palmarum,Parulidae (New World Warblers),Palm Warbler,2.05511711,Setophaga palmarum,-1.617073807,Dendroica palmarum,N,Parulidae,(New World Warblers),Yes,,coastal stands
6,Gampsonyx swainsonii,Gampsonyx swainsonii,Gampsonyx swainsonii,"Accipitridae (Hawks, Eagles, and Kites)",Pearl Kite,1.47324529,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
183,Falco peregrinus,Falco peregrinus,Falco peregrinus,Falconidae (Falcons and Caracaras),Peregrine Falcon,1.974832947,NA,NA,Falco peregrinus,U,Falconidae,(Falcons and Caracaras),Yes,,NA
120,Burhinus superciliaris,Burhinus superciliaris,Burhinus superciliaris,Burhinidae (Thick-knees),Peruvian Thick-knee,1.243831695,NA,NA,NA,NA,Burhinidae,(Thick-knees),Yes,,NA
167,Microhierax erythrogenys,Microhierax erythrogenys,Microhierax erythrogenys,Falconidae (Falcons and Caracaras),Philippine Falconet,0.792732522,NA,NA,NA,NA,Falconidae,(Falcons and Caracaras),Yes,,NA
58,Circus melanoleucos,Circus melanoleucos,Circus melanoleucos,"Accipitridae (Hawks, Eagles, and Kites)",Pied Harrier,1.032935077,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
253,Gallinago stenura,Gallinago stenura,Gallinago stenura,Scolopacidae (Sandpipers and Allies),Pin-tailed Snipe,1.220846521,NA,NA,NA,NA,Scolopacidae,(Sandpipers and Allies),Yes,,NA
47,Ictinia plumbea,Ictinia plumbea,Ictinia plumbea,"Accipitridae (Hawks, Eagles, and Kites)",Plumbeous Kite,0.525436588,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
21,Gyps rueppellii,Gyps rueppelli,Gyps rueppelli,"Accipitridae (Hawks, Eagles, and Kites)",Rüppell's Griffon,0.660966568,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
78,Milvus milvus,Milvus milvus,Milvus milvus,"Accipitridae (Hawks, Eagles, and Kites)",Red Kite,0.719705747,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
174,Falco chicquera,Falco chicquera,Falco chicquera,Falconidae (Falcons and Caracaras),Red-necked Falcon,1.330076126,NA,NA,NA,NA,Falconidae,(Falcons and Caracaras),Yes,,NA
91,Buteo lineatus,Buteo lineatus,Buteo lineatus,"Accipitridae (Hawks, Eagles, and Kites)",Red-shouldered Hawk,1.670350483,Buteo lineatus,1.37136443,Buteo lineatus,U,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
98,Buteo jamaicensis,Buteo jamaicensis,Buteo jamaicensis,"Accipitridae (Hawks, Eagles, and Kites)",Red-tailed Hawk,1.406946805,Buteo jamaicensis,1.229218034,Buteo jamaicensis,U,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
166,Ibycter americanus,Ibycter americanus,Ibycter americanus,Falconidae (Falcons and Caracaras),Red-throated Caracara,0.015353959,NA,NA,NA,NA,Falconidae,(Falcons and Caracaras),Yes,,NA
143,Vanellus indicus,Vanellus indicus,Vanellus indicus,Charadriidae (Plovers and Lapwings),Red-wattled Lapwing,1.630362281,NA,NA,Vanellus indicus,U,Charadriidae,(Plovers and Lapwings),Yes,,NA
92,Buteo ridgwayi,Buteo ridgwayi,Buteo ridgwayi,"Accipitridae (Hawks, Eagles, and Kites)",Ridgway's Hawk,0.026779846,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
82,Buteo magnirostris,Rupornis magnirostris,Rupornis magnirostris,"Accipitridae (Hawks, Eagles, and Kites)",Roadside Hawk,1.717914126,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
170,Falco tinnunculus,Falco rupicolus,Falco tinnunculus,Falconidae (Falcons and Caracaras),Rock Kestrel,1.053777966,NA,NA,NA,NA,Falconidae,(Falcons and Caracaras),Yes,,NA
201,Hirundo fuligula,Ptyonoprogne fuligula,Ptyonoprogne fuligula,Hirundinidae (Swallows),Rock Martin,1.871425168,NA,NA,NA,NA,Hirundinidae,(Swallows),Yes,,coasts
237,Neophema petrophila,Neophema petrophila,Neophema petrophila,Psittaculidae (Old World Parrots),Rock Parrot,NA,NA,NA,Neophema petrophila,U,Psittaculidae,(Old World Parrots),Yes,NA,"coastal dunes, mangroves, saltflats"
155,Columba livia,Columba livia,Columba livia,Columbidae (Pigeons and Doves),Rock Pigeon,2.863742596,Columba livia,2.888928507,NA,NA,Columbidae,(Pigeons and Doves),Yes,,sea cliffs
267,Salpinctes obsoletus,Salpinctes obsoletus,Salpinctes obsoletus,Troglodytidae (Wrens),Rock Wren,0.812628898,Salpinctes obsoletus,-1.365642116,NA,NA,Troglodytidae,(Wrens),Yes,,oceanic cliffs
1,Origma solitaria,Origma solitaria,Origma solitaria,Acanthizidae (Thornbills and Allies),Rockwarbler,0.214412238,NA,NA,NA,NA,Acanthizidae,(Thornbills and Allies),Yes,,seacliffs
247,Arenaria interpres,Arenaria interpres,Arenaria interpres,Scolopacidae (Sandpipers and Allies),Ruddy Turnstone,1.538395246,NA,NA,NA,NA,Scolopacidae,(Sandpipers and Allies),Yes,,NA
81,Buteogallus aequinoctialis,Buteogallus aequinoctialis,Buteogallus aequinoctialis,"Accipitridae (Hawks, Eagles, and Kites)",Rufous Crab Hawk,1.377700612,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
72,Accipiter rufiventris,Accipiter rufiventris,Accipiter rufiventris,"Accipitridae (Hawks, Eagles, and Kites)",Rufous-breasted Sparrowhawk,1.908618481,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
152,Charadrius modestus,Charadrius modestus,Charadrius modestus,Charadriidae (Plovers and Lapwings),Rufous-chested Dotterel,0.978070478,NA,NA,NA,NA,Charadriidae,(Plovers and Lapwings),Yes,,NA
227,Ammodramus caudacutus,Ammospiza caudacuta,Ammospiza caudacuta,Passerellidae (New World Sparrows),Saltmarsh Sparrow,1.742834434,Ammospiza caudacuta,-0.194703114,NA,NA,Passerellidae,(New World Sparrows),Yes,mention of marsh but not saltwater or coastal ,coastal marshes
111,Calandrella raytal,Alaudala raytal,Alaudala raytal,Alaudidae (Larks),Sand Lark,1.669983721,NA,NA,NA,NA,Alaudidae,(Larks),Yes,,coastal areas such as mudflats
206,Dives warszewiczi,Dives warczewiczi,Dives warczewiczi,Icteridae (Troupials and Allies),Scrub Blackbird,2.116782693,NA,NA,NA,NA,Icteridae,(Troupials and Allies),Yes,,coastal areas  
226,Ammodramus maritimus,Ammospiza maritima,Ammospiza maritima,Passerellidae (New World Sparrows),Seaside Sparrow,1.207444999,Ammospiza maritima,-1.372249983,NA,NA,Passerellidae,(New World Sparrows),Yes,mention of marsh but not saltwater or coastal ,tidal marshes
268,Cistothorus platensis,Cistothorus stellaris,Cistothorus stellaris,Troglodytidae (Wrens),Sedge Wren,1.161164913,NA,NA,NA,NA,Troglodytidae,(Wrens),Yes,,coastal marshes  
149,Charadrius semipalmatus,Charadrius semipalmatus,Charadrius semipalmatus,Charadriidae (Plovers and Lapwings),Semipalmated Plover,1.417777238,NA,NA,Charadrius semipalmatus,N,Charadriidae,(Plovers and Lapwings),Yes,,NA
88,Leucopternis semiplumbeus,Leucopternis semiplumbeus,Leucopternis semiplumbeus,"Accipitridae (Hawks, Eagles, and Kites)",Semiplumbeous Hawk,0.227773183,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
73,Accipiter striatus,Accipiter striatus,Accipiter striatus,"Accipitridae (Hawks, Eagles, and Kites)",Sharp-shinned Hawk,1.822389331,NA,NA,Accipiter striatus,N,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
62,Accipiter badius,Accipiter badius,Accipiter badius,"Accipitridae (Hawks, Eagles, and Kites)",Shikra,2.070468576,NA,NA,Accipiter badius,U,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
154,Thinornis novaeseelandiae,Thinornis novaeseelandiae,Thinornis novaeseelandiae,Charadriidae (Plovers and Lapwings),Shore Plover,0.088743361,NA,NA,NA,NA,Charadriidae,(Plovers and Lapwings),Yes,,NA
94,Buteo brachyurus,Buteo brachyurus,Buteo brachyurus,"Accipitridae (Hawks, Eagles, and Kites)",Short-tailed Hawk,1.554134227,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
24,Circaetus gallicus,Circaetus gallicus,Circaetus gallicus,"Accipitridae (Hawks, Eagles, and Kites)",Short-toed Snake-Eagle,1.171357268,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
80,Leucopternis schistaceus,Buteogallus schistaceus,Buteogallus schistaceus,"Accipitridae (Hawks, Eagles, and Kites)",Slate-colored Hawk,0.133639637,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
244,Rallina eurizonoides,Rallina eurizonoides,Rallina eurizonoides,"Rallidae (Rails, Gallinules, and Coots)",Slaty-legged Crake,1.715394766,NA,NA,NA,NA,Rallidae,"(Rails, Gallinules, and Coots)",Yes,coastal marshes or water ,NA
124,Calcarius pictus,Calcarius pictus,Calcarius pictus,Calcariidae (Longspurs and Snow Buntings),Smith's Longspur,1.909289104,NA,NA,NA,NA,Calcariidae,(Longspurs and Snow Buntings),Yes,beaches / concentrate near coastlines,NA
44,Rostrhamus sociabilis,Rostrhamus sociabilis,Rostrhamus sociabilis,"Accipitridae (Hawks, Eagles, and Kites)",Snail Kite,1.911208052,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
126,Plectrophenax nivalis,Plectrophenax nivalis,Plectrophenax nivalis,Calcariidae (Longspurs and Snow Buntings),Snow Bunting,1.227007846,NA,NA,NA,NA,Calcariidae,(Longspurs and Snow Buntings),Yes,beaches / concentrate near coastlines,NA
266,Amazilia edward,Saucerottia edward,Amazilia edward,Trochilidae (Hummingbirds),Snowy-bellied Hummingbird,0.87510473,NA,NA,NA,NA,Trochilidae,(Hummingbirds),Yes,,mangroves
243,Porphyrio hochstetteri,Porphyrio hochstetteri,Porphyrio hochstetteri,"Rallidae (Rails, Gallinules, and Coots)",South Island Takahe,0.020915848,NA,NA,NA,NA,Rallidae,"(Rails, Gallinules, and Coots)",Yes,coastal marshes or water ,NA
231,Drymodes brunneopygia,Drymodes brunneopygia,Drymodes brunneopygia,Petroicidae (Australasian Robins),Southern Scrub-Robin,0.021734722,NA,NA,NA,NA,Petroicidae,(Australasian Robins),Yes,,coastal tea tree 
37,Aquila adalberti,Aquila adalberti,Aquila adalberti,"Accipitridae (Hawks, Eagles, and Kites)",Spanish Eagle,1.135287727,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
164,Spiziapteryx circumcincta,Spiziapteryx circumcincta,Spiziapteryx circumcincta,Falconidae (Falcons and Caracaras),Spot-winged Falconet,0.560130831,NA,NA,NA,NA,Falconidae,(Falcons and Caracaras),Yes,,NA
52,Circus assimilis,Circus assimilis,Circus assimilis,"Accipitridae (Hawks, Eagles, and Kites)",Spotted Harrier,0.77673743,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
