,Species_Jetz,Species_eBird,Species_BirdLife,Family_eBird,CommonName_eBird,aveUAI,SciName_MUTI,MUTIscore,SciName_UN,Urban,Family_Sci,Family_English,Coastal,Notes_Family,Notes_Species
144,Vanellus tricolor,Vanellus tricolor,Vanellus tricolor,Charadriidae (Plovers and Lapwings),Banded Lapwing,NA,NA,NA,Vanellus tricolor,U,Charadriidae,(Plovers and Lapwings),Yes,,NA
200,Riparia riparia,Riparia riparia,Riparia riparia,Hirundinidae (Swallows),Bank Swallow,1.499290559,Riparia riparia,1.336192378,NA,NA,Hirundinidae,(Swallows),Yes,,coastal banks
185,Micrastur ruficollis,Micrastur ruficollis,Micrastur ruficollis,Falconidae (Falcons and Caracaras),Barred Forest-Falcon,0.176425674,NA,NA,NA,NA,Falconidae,(Falcons and Caracaras),Yes,,tidal swamp forests
240,Gallirallus torquatus,Gallirallus torquatus,Hypotaenidia torquata,"Rallidae (Rails, Gallinules, and Coots)",Barred Rail,1.681367809,NA,NA,NA,NA,Rallidae,"(Rails, Gallinules, and Coots)",Yes,coastal marshes or water ,NA
224,Dendroica castanea,Setophaga castanea,Setophaga castanea,Parulidae (New World Warblers),Bay-breasted Warbler,1.844535116,Setophaga castanea,-1.507390822,Dendroica castanea,N,Parulidae,(New World Warblers),Yes,,coastal habitats
235,Ploceus philippinus,Ploceus philippinus,Ploceus philippinus,Ploceidae (Weavers and Allies),Baya Weaver,1.397669748,NA,NA,NA,NA,Ploceidae,(Weavers and Allies),Yes,,mangroves
68,Accipiter virgatus,Accipiter virgatus,Accipiter virgatus,"Accipitridae (Hawks, Eagles, and Kites)",Besra,2.076683786,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
75,Accipiter bicolor,Accipiter bicolor,Accipiter bicolor,"Accipitridae (Hawks, Eagles, and Kites)",Bicolored Hawk,0.643384159,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
17,Aviceda leuphotes,Aviceda leuphotes,Aviceda leuphotes,"Accipitridae (Hawks, Eagles, and Kites)",Black Baza,2.55186238,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
31,Ictinaetus malayensis,Ictinaetus malaiensis,Ictinaetus malaiensis,"Accipitridae (Hawks, Eagles, and Kites)",Black Eagle,0.603969485,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
76,Accipiter melanoleucus,Accipiter melanoleucus,Accipiter melanoleucus,"Accipitridae (Hawks, Eagles, and Kites)",Black Goshawk,2.064683248,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
53,Circus maurus,Circus maurus,Circus maurus,"Accipitridae (Hawks, Eagles, and Kites)",Black Harrier,0.473010796,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
28,Spizaetus tyrannus,Spizaetus tyrannus,Spizaetus tyrannus,"Accipitridae (Hawks, Eagles, and Kites)",Black Hawk-Eagle,0.776402857,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
248,Arenaria melanocephala,Arenaria melanocephala,Arenaria melanocephala,Scolopacidae (Sandpipers and Allies),Black Turnstone,2.156878335,NA,NA,NA,NA,Scolopacidae,(Sandpipers and Allies),Yes,,NA
30,Spizaetus isidori,Spizaetus isidori,Spizaetus isidori,"Accipitridae (Hawks, Eagles, and Kites)",Black-and-chestnut Eagle,0.036454556,NA,NA,NA,NA,Accipitridae,"(Hawks, Eagles, and Kites)",Yes,,NA
