Species,CommonNameBL,sumDiffPC1,sumDiffPC2,FemalePC1sum,MalePC1sum,FemalePC2sum,MalePC2sum,Species
Ammodramus_maritimus,Seaside Sparrow,1.050941,-0.421377,-13.1864,-12.1355,0.869014354,0.447637738,Ammodramus_maritimus
Ammodramus_savannarum,Grasshopper Sparrow,-1.611783,0.377247,6.9888,5.377,-4.652700446,-4.275453419,Ammodramus_savannarum
Amphispiza_bilineata,Black-throated Sparrow,0.842939,1.10669,-1.2848,-0.4418,0.645119339,1.751809176,Amphispiza_bilineata
Amytornis_purnelli,Dusky Grasswren,-0.783426,-0.020155,-10.6073,-11.3907,-3.549023397,-3.56917878,Amytornis_purnelli
Amytornis_striatus,Striated Grasswren,0.162024,1.944157,-5.7754,-5.6134,-3.109266993,-1.165110168,Amytornis_striatus
Anas_acuta,Northern Pintail,-7.431731,4.071285,10.6957,3.2639,-3.548751536,0.522533759,Anas_acuta
Anas_americana,American Wigeon,14.680254,-1.384171,6.7174,21.3977,-0.301376342,-1.685547094,Anas_americana
Anas_castanea,Chestnut Teal,-6.562856,2.559791,-10.0322,-16.595,-2.150092127,0.409698723,Anas_castanea
Anas_clypeata,Northern Shoveler,-12.98132,3.38357,2.1926,-10.7887,-1.585645866,1.797924159,Anas_clypeata
Anas_crecca,Common Teal,-0.175446,3.815719,3.4138,3.2383,-1.651323341,2.164395968,Anas_crecca
Anas_discors,Blue-winged Teal,4.069933,0.289437,7.8706,11.9406,0.316306577,0.605743091,Anas_discors
Anas_georgica,Yellow-billed Pintail,-6.868202,-0.734341,12.8234,5.9552,-2.257417496,-2.991758536,Anas_georgica
Anas_gracilis,Grey Teal,3.298185,0.416511,-3.1634,0.1347,-1.024401132,-0.607889753,Anas_gracilis
Anas_platyrhynchos,Mallard,-6.013176,3.760761,1.4807,-4.5325,-1.845081603,1.915679155,Anas_platyrhynchos
Anas_rhynchotis,Australasian Shoveler,-4.142818,4.52571,-6.0422,-10.185,-1.174211974,3.351498403,Anas_rhynchotis
Anas_rubripes,American Black Duck,-3.312101,1.026082,-7.8496,-11.1617,0.421500218,1.447581932,Anas_rubripes
Anas_superciliosa,Pacific Black Duck,-2.275103,0.529345,-3.2942,-5.5693,-0.952350903,-0.42300562,Anas_superciliosa
Andropadus_latirostris,Yellow-whiskered Greenbul,3.370281,-0.211605,-13.181,-9.8107,0.436911715,0.225307086,Andropadus_latirostris
Anhinga_melanogaster,Oriental Darter,-39.304692,3.361734,26.9022,-12.4025,-1.170111486,2.191622588,Anhinga_melanogaster
Anisognathus_igniventris,Scarlet-bellied Mountain-tanager,0.300891,0.713737,-6.1868,-5.8859,4.823654052,5.537391457,Anisognathus_igniventris
Anous_stolidus,Brown Noddy,-0.285817,0.362539,-5.6006,-5.8864,1.51106619,1.873604996,Anous_stolidus
Anser_albifrons,Greater White-fronted Goose,3.005803,0.427679,-0.7557,2.2501,-1.848538005,-1.420859231,Anser_albifrons
Anthochaera_carunculata,Red Wattlebird,-1.685318,0.081513,-1.8797,-3.5651,-1.374564483,-1.293051471,Anthochaera_carunculata
Anthochaera_chrysoptera,Little Wattlebird,-3.538964,0.682033,-5.375,-8.9139,1.066578577,1.74861108,Anthochaera_chrysoptera
Anthochaera_paradoxa,Yellow Wattlebird,-4.453983,1.228514,3.1478,-1.3062,-1.498646336,-0.270132651,Anthochaera_paradoxa
Anthus_novaeseelandiae,Australasian Pipit,2.580027,1.690089,2.9885,5.5685,-2.052182939,-0.362094068,Anthus_novaeseelandiae
Anthus_pratensis,Meadow Pipit,-1.451502,0.11545,-2.151,-3.6025,-1.033143533,-0.917693985,Anthus_pratensis
Anthus_rubescens,American Pipit,0.679995,0.56108,-0.5592,0.1208,-2.46085856,-1.899778252,Anthus_rubescens
Anthus_spinoletta,Water Pipit,3.138326,-0.396727,-4.7108,-1.5725,-3.059086138,-3.455813531,Anthus_spinoletta
Apalis_thoracica,Bar-throated Apalis,2.221093,0.987069,-2.2252,-0.0041,-0.149294863,0.837774201,Apalis_thoracica
Aphelocoma_coerulescens,Florida Scrub-jay,1.429977,-0.227654,-5.2443,-3.8143,3.322322577,3.094668272,Aphelocoma_coerulescens
Aphelocoma_ultramarina,Mexican Jay,4.902015,2.120144,2.422,7.324,4.132271854,6.252415635,Aphelocoma_ultramarina
Aplonis_metallica,Metallic Starling,4.610347,0.987039,-8.2408,-3.6304,4.864731481,5.851770394,Aplonis_metallica
Aptenodytes_forsteri,Emperor Penguin,3.111639,-1.757593,3.5611,6.6727,1.9224964,0.164903248,Aptenodytes_forsteri
Apus_apus,Common Swift,1.644256,0.04267,-13.1406,-11.4964,1.193814579,1.236484173,Apus_apus
Aquila_chrysaetos,Golden Eagle,-1.432711,-0.571215,-12.8388,-14.2715,0.102065066,-0.469149838,Aquila_chrysaetos
Aramus_guarauna,Limpkin,-5.708627,-0.190868,-5.9933,-11.7019,-1.280325573,-1.471193263,Aramus_guarauna
Archilochus_colubris,Ruby-throated Hummingbird,-6.235363,1.030849,-13.3817,-19.6171,-1.200079992,-0.169230585,Archilochus_colubris
Ardea_herodias,Great Blue Heron,-3.232169,1.504901,20.2123,16.9801,1.128514929,2.633415635,Ardea_herodias
Arenaria_interpres,Ruddy Turnstone,-0.752527,-0.991066,14.2126,13.4601,2.114678242,1.123612818,Arenaria_interpres
Arremon_brunneinucha,Chestnut-capped Brush-finch,0.35797,-0.391666,4.6298,4.9878,1.428492972,1.036826551,Arremon_brunneinucha
Arremonops_rufivirgatus,Olive Sparrow,3.31472,-1.469954,6.896,10.2108,0.034516954,-1.435436927,Arremonops_rufivirgatus
Arses_telescophthalmus,Frilled Monarch,10.304085,10.372452,-10.3127,-0.0086,-6.10480466,4.267647466,Arses_telescophthalmus
Artamus_cinereus,Black-faced Woodswallow,2.556374,1.011904,-1.3421,1.2143,2.744419654,3.756323893,Artamus_cinereus
Artamus_cyanopterus,Dusky Woodswallow,-2.368281,-0.14564,-10.8198,-13.188,2.925292518,2.779652243,Artamus_cyanopterus
Artamus_leucorynchus,White-breasted Woodswallow,-2.447863,-1.361052,-3.1818,-5.6296,3.758389619,2.397337109,Artamus_leucorynchus
Artamus_maximus,Great Woodswallow,3.007124,0.781817,-5.4738,-2.4666,3.216509715,3.998326528,Artamus_maximus
Artamus_minor,Little Woodswallow,-0.490216,-0.167823,-16.4848,-16.975,2.280000146,2.112177227,Artamus_minor
Asio_flammeus,Short-eared Owl,3.692263,0.538793,-5.128,-1.4357,-3.3020325,-2.763239915,Asio_flammeus
Asio_otus,Long-eared Owl,1.931465,-0.488362,-8.1476,-6.2161,-1.457888189,-1.946250475,Asio_otus
Astrapia_stephaniae,Stephanie's Astrapia,0.860202,1.346207,-22.3669,-21.5067,1.413820663,2.760027891,Astrapia_stephaniae
Atlapetes_albinucha,White-naped Brush-finch,0.72006,-0.174932,1.1897,1.9098,-1.19371631,-1.368647726,Atlapetes_albinucha
Atlapetes_pileatus,Rufous-capped Brush-finch,5.243929,-2.118257,-6.3981,-1.1542,-2.132631563,-4.250888841,Atlapetes_pileatus
Atlapetes_schistaceus,Slaty Brush-finch,3.868069,0.368271,-2.698,1.1701,-0.087699119,0.280571953,Atlapetes_schistaceus
Attagis_gayi,Rufous-bellied Seedsnipe,8.471255,-0.291498,-1.8628,6.6084,-4.674435758,-4.965933964,Attagis_gayi
Aulacorhynchus_prasinus,Emerald Toucanet,3.992701,0.651329,-7.865,-3.8723,1.884747278,2.536076068,Aulacorhynchus_prasinus
Auriparus_flaviceps,Verdin,5.153323,-1.140841,-6.5285,-1.3752,-1.575256884,-2.71609779,Auriparus_flaviceps
Aviceda_subcristata,Pacific Baza,-5.787085,1.822972,8.2217,2.4347,1.331539477,3.15451103,Aviceda_subcristata
Aythya_affinis,Lesser Scaup,2.632024,1.051132,0.6989,3.3309,1.728435839,2.779567928,Aythya_affinis
