scinam,genus_species,genus,species,peak_frequency,perc_forest_cover,n_ind,family,body_mass,body_mass_M,body_mass_F,SSD_bm,male_wing_avg,female_wing_avg,SSD,habitat_type
acrocephalus,Acrocephalus_schoenobaenus,Acrocephalus,schoenobaenus,4823.4,35.5,5,sylviidae,11.85,,,,66.1,64.1,0.01334343,0
acrocephalus,Acrocephalus_scirpaceus,Acrocephalus,scirpaceus,3273,19.875,5,sylviidae,12.3,,,,67.6,66.3,0.008433168,0
acrocephalus,Acrocephalus_stentoreus,Acrocephalus,stentoreus,3445.3,22.25,5,sylviidae,24.2,,,,81.8,77.5,0.023451601,0
acrocephalus,Acrocephalus_tangorum,Acrocephalus,tangorum,4306.6,1.888888889,1,sylviidae,7.9,,,,,,,0
acropternis,Acropternis_orthonyx,Acropternis,orthonyx,2411.7,97,5,rhinocryptidae,90,95,85,0.04830468,,,,2
actinodura,Actinodura_egertoni,Actinodura,egertoni,2928.5,93.77777778,3,timaliidae,36,,,,87.5,86.25,0.006248949,2
actinodura,Actinodura_morrisoniana,Actinodura,morrisoniana,5857,100,1,timaliidae,32.1,,,,,,,2
actinodura,Actinodura_nipalensis,Actinodura,nipalensis,2067.2,85.375,3,timaliidae,44,,,,93,90,0.014240439,2
actinodura,Actinodura_ramsayi,Actinodura,ramsayi,2411.7,100,5,timaliidae,38.4,,,,,,,2
actinodura,Actinodura_sodangorum,Actinodura,sodangorum,2067.2,100,3,timaliidae,,,,,,,,2
actinodura,Actinodura_souliei,Actinodura,souliei,2239.5,88.71428571,3,timaliidae,,,,,,,,2
actinodura,Actinodura_waldeni,Actinodura,waldeni,2583.95,100,4,timaliidae,47.5,,,,93,92.5,0.002341216,2
aegithalos,Aegithalos_caudatus,Aegithalos,caudatus,6546.1,52.375,5,aegithalidae,8.6,,,,61.13,59.11,0.014593436,2
aegithalos,Aegithalos_concinnus,Aegithalos,concinnus,7235.2,100,3,aegithalidae,6.1,,,,49.75,48.25,0.013295767,2
aegithalos,Aegithalos_iouschistos,Aegithalos,iouschistos,7752,100,1,aegithalidae,7,,,,56.25,55.5,0.005829544,1
aegithalos,Aegithalos_niveogularis,Aegithalos,niveogularis,6546.1,8.444444444,1,aegithalidae,7.8,,,,61.25,59.25,0.014417738,2
aegithina,Aegithina_lafresnayei,Aegithina,lafresnayei,2928.5,68.79464286,4,aegithinidae,,,,,,,,2
aegithina,Aegithina_tiphia,Aegithina,tiphia,2584,89.9375,4,aegithinidae,12,,,,64.5,63.5,0.006785989,2
aegithina,Aegithina_viridissima,Aegithina,viridissima,4823.4,96.125,5,aegithinidae,13.4,,,,,,,2
aethopyga,Aethopyga_boltoni,Aethopyga,boltoni,4909.55,90.96527778,2,nectariniidae,7.133333333,8,7.1,0.051831638,,,,2
aethopyga,Aethopyga_christinae,Aethopyga,christinae,5512.5,82.125,5,nectariniidae,6,,,,,,,2
aethopyga,Aethopyga_duyvenbodei,Aethopyga,duyvenbodei,6459.95,94.8125,2,nectariniidae,,,,,,,,2
aethopyga,Aethopyga_eximia,Aethopyga,eximia,5426.35,89.44444444,2,nectariniidae,,,,,,,,2
aethopyga,Aethopyga_flagrans,Aethopyga,flagrans,6890.6,77.75,1,nectariniidae,6.7,,,,,,,
aethopyga,Aethopyga_gouldiae,Aethopyga,gouldiae,7235.2,88.71428571,3,nectariniidae,6.125,,,,54.25,49.5,0.039794544,2
aethopyga,Aethopyga_ignicauda,Aethopyga,ignicauda,6890.65,42.86111111,2,nectariniidae,8.2,,,,57.5,54,0.027274085,2
aethopyga,Aethopyga_mystacalis,Aethopyga,mystacalis,6201.6,100,5,nectariniidae,6,,,,,,,2
aethopyga,Aethopyga_nipalensis,Aethopyga,nipalensis,6718.4,59.77777778,5,nectariniidae,6.325,,,,54.75,50.25,0.037248057,2
aethopyga,Aethopyga_primigenia,Aethopyga,primigenia,5168,94.375,1,nectariniidae,7,,,,,,,2
aethopyga,Aethopyga_pulcherrima,Aethopyga,pulcherrima,5512.5,80.44444444,4,nectariniidae,6.2,,,,,,,2
aethopyga,Aethopyga_saturata,Aethopyga,saturata,7235.2,77.77777778,5,nectariniidae,5.3,,,,54.25,47,0.062301885,2
aethopyga,Aethopyga_shelleyi,Aethopyga,shelleyi,6718.4,100,5,nectariniidae,4,,,,,,,2
aethopyga,Aethopyga_siparaja,Aethopyga,siparaja,6718.4,81.625,5,nectariniidae,6.7,,,,59.75,52.75,0.054115446,2
agelaioides,Agelaioides_badius,Agelaioides,badius,3445.3,12.75,3,icteridae,45.3,47.4,43.2,0.040294595,95.73,92.33,0.015705223,1
agelaius,Agelaius_assimilis,Agelaius,assimilis,3100.8,5.625,1,icteridae,48.1,54.4,41.8,0.114422618,107.75,93.2,0.063001366,0
agelaius,Agelaius_phoeniceus,Agelaius,phoeniceus,2928.5,2.625,5,icteridae,52.4,65.3,39.5,0.218316086,117.01,95.69,0.087356425,0
agelaius,Agelaius_tricolor,Agelaius,tricolor,2842.35,8.888888889,2,icteridae,58.7,68.2,49.2,0.141819272,121.2,106.7,0.0553382,0
agelaius,Agelaius_xanthomus,Agelaius,xanthomus,6029.3,6.777777778,1,icteridae,38.4,,,,103.8,96.1,0.033473966,1
agelasticus,Agelasticus_cyanopus,Agelasticus,cyanopus,3617.6,37.75,2,icteridae,37.6,43,32.2,0.125612584,96.03,87.41,0.040845809,0
agelasticus,Agelasticus_thilius,Agelasticus,thilius,4565.05,8.714285714,4,icteridae,31.7,35.2,28.2,0.096293555,92.83,85.37,0.036383069,0
agelasticus,Agelasticus_xanthophthalmus,Agelasticus,xanthophthalmus,4134.4,90.33333333,5,icteridae,45.1,,,,96.9,83.3,0.065678776,0
agriornis,Agriornis_albicauda,Agriornis,albicauda,3100.75,13.58730159,2,tyrannidae,,,,,,,,0
agriornis,Agriornis_lividus,Agriornis,lividus,3789.8,0,1,tyrannidae,99.15,102,96.3,0.024973885,,,,0
agriornis,Agriornis_montanus,Agriornis,montanus,3100.8,0.25,5,tyrannidae,63.3,,,,,,,0
ailuroedus,Ailuroedus_buccoides,Ailuroedus,buccoides,2670.1,100,2,ptilonorhynchidae,137,,,,132,129.5,0.008304163,2
ailuroedus,Ailuroedus_crassirostris,Ailuroedus,crassirostris,2411.7,75,3,ptilonorhynchidae,205.5,214,197,0.035947547,163.91,161.96,0.005197682,2
ailuroedus,Ailuroedus_melanotis,Ailuroedus,melanotis,2067.2,78.85714286,5,ptilonorhynchidae,177,183,171,0.029454979,151.12,145.5,0.016458952,2
aimophila,Aimophila_aestivalis,Aimophila,aestivalis,4651.2,95.375,5,emberizidae,19.6,,,,61.2,59.2,0.014429715,1
aimophila,Aimophila_botterii,Aimophila,botterii,6029.3,3.125,5,emberizidae,19.9,,,,63.5,61.6,0.013193013,1
aimophila,Aimophila_carpalis,Aimophila,carpalis,5512.5,3.5,5,emberizidae,15.3,,,,59.3,56.99,0.017256036,1
aimophila,Aimophila_cassinii,Aimophila,cassinii,3617.6,2.777777778,5,emberizidae,18.9,,,,63.8,62,0.012428989,1
aimophila,Aimophila_humeralis,Aimophila,humeralis,7579.7,20.875,5,emberizidae,23.9,,,,,,,2
aimophila,Aimophila_mystacalis,Aimophila,mystacalis,6029.3,15,5,emberizidae,22.2,,,,,,,1
