species_code,UrbanIndex1,UrbanIndex2,UrbanIndex3,UrbanIndex4,UrbanIndex5,UrbanIndex6,PC1_scores,mean_br_occur,scientific_name,order,family,genus,common_name,test_spp,br_rng_extent,breeding_start_dt,breeding_end_dt,year_round_start_dt,year_round_end_dt,run_name
boboli,-1.349172708,-1.374701798,6.45068947,0.082994655,0.02374262,0.647632674,-0.580737592,NA,Dolichonyx oryzivorus,Passeriformes,Icteridae,Dolichonyx,Bobolink,no,100,6/7/2018,7/6/2018,NA,NA,boboli-ERD2018-EBIRD_SCIENCE-20191105-21d0f7a6
easmea,-1.341329601,-1.050174672,5.628651448,0.1477239,0.038320027,0.747473692,-0.413429246,NA,Sturnella magna,Passeriformes,Icteridae,Sturnella,Eastern Meadowlark,no,61,5/10/2018,6/7/2018,NA,NA,easmea-ERD2018-EBIRD_SCIENCE-20191028-4dcf377c
wesmea,-1.752026195,-1.868597535,5.212850013,0.032518401,0.003742901,0.433115494,-1.217036473,NA,Sturnella neglecta,Passeriformes,Icteridae,Sturnella,Western Meadowlark,no,95,5/10/2018,9/7/2018,NA,NA,wesmea-ERD2018-EBIRD_SCIENCE-20191030-52acd0c9
orcori,-0.213686759,-0.146486286,7.460314046,0.179730274,0.074385636,0.946951793,0.718299712,NA,Icterus spurius,Passeriformes,Icteridae,Icterus,Orchard Oriole,no,85,5/31/2018,6/28/2018,NA,NA,orcori-ERD2018-EBIRD_SCIENCE-20191029-9e8c4003
hooori,1.389985585,1.226308966,8.144276657,0.240478955,0.507934865,1.603160627,2.931049207,NA,Icterus cucullatus,Passeriformes,Icteridae,Icterus,Hooded Oriole,no,33,5/10/2018,8/3/2018,NA,NA,hooori-ERD2018-EBIRD_SCIENCE-20191107-36767695
bulori,0.176809181,-0.024335322,5.817206411,0.06992987,0.076696768,1.030138185,1.133057825,NA,Icterus bullockii,Passeriformes,Icteridae,Icterus,Bullock's Oriole,no,87,6/7/2018,8/3/2018,NA,NA,bulori-ERD2018-EBIRD_SCIENCE-20191026-82da1220
audori,-1.777578801,-1.984304446,5.243314642,0.114685956,0.021768135,0.589295879,-0.982441357,NA,Icterus graduacauda,Passeriformes,Icteridae,Icterus,Audubon's Oriole,no,18,NA,NA,1/4/2018,12/28/2018,audori-ERD2018-EBIRD_SCIENCE-20191113-71b06a4e
balori,0.651352346,0.396732075,6.997810615,0.178766776,0.409339618,1.117964895,1.615605201,NA,Icterus galbula,Passeriformes,Icteridae,Icterus,Baltimore Oriole,no,100,6/7/2018,8/10/2018,NA,NA,balori-ERD2018-EBIRD_SCIENCE-20191025-bb8f7498
scoori,-1.690521672,-2,4.998794282,0.003156637,0.000670347,0.059327234,-1.778245165,0,Icterus parisorum,Passeriformes,Icteridae,Icterus,Scott's Oriole,no,50,5/24/2018,6/28/2018,NA,NA,scoori-ERD2018-EBIRD_SCIENCE-20191112-b18c083d
rewbla,0.273174672,-0.128857107,6.496638467,0.117333283,0.102764324,1.221770446,1.512497972,1.847311304,Agelaius phoeniceus,Passeriformes,Icteridae,Agelaius,Red-winged Blackbird,no,86,5/3/2018,8/3/2018,NA,NA,rewbla-ERD2018-EBIRD_SCIENCE-20191029-355ff5c1
tribla,-1.502676743,-1.955403075,5.544394188,0.136577988,0.077460368,0.681979545,-0.635201701,0.189933523,Agelaius tricolor,Passeriformes,Icteridae,Agelaius,Tricolored Blackbird,no,95,NA,NA,1/4/2018,12/28/2018,tribla-ERD2018-EBIRD_SCIENCE-20191108-653e7b90
brocow,0.130885863,-0.071022465,6.41234848,0.184946187,0.26095936,0.966849308,0.997633098,NA,Molothrus aeneus,Passeriformes,Icteridae,Molothrus,Bronzed Cowbird,no,29,NA,NA,1/4/2018,12/28/2018,brocow-ERD2018-EBIRD_SCIENCE-20191108-49df5739
bnhcow,-0.026393476,-0.340091874,6.464166307,0.133184262,0.021353354,1.148036815,1.178256861,NA,Molothrus ater,Passeriformes,Icteridae,Molothrus,Brown-headed Cowbird,no,87,5/24/2018,7/6/2018,NA,NA,bnhcow-ERD2018-EBIRD_SCIENCE-20191102-07f99890
rusbla,-1.674478404,-1.94727169,4.376979776,0.004726135,0.003620539,0.277917521,-1.412752181,NA,Euphagus carolinus,Passeriformes,Icteridae,Euphagus,Rusty Blackbird,no,99,5/31/2018,8/31/2018,NA,NA,rusbla-ERD2018-EBIRD_SCIENCE-20191029-49cb95ab
brebla,-0.334792547,-0.414331963,5.279317722,0.057632327,0.035056912,0.919892023,0.5876275,NA,Euphagus cyanocephalus,Passeriformes,Icteridae,Euphagus,Brewer's Blackbird,no,98,5/10/2018,8/24/2018,NA,NA,brebla-ERD2018-EBIRD_SCIENCE-20191104-3bccb87c
comgra,0.573797491,0.110857628,6.273666173,0.147754033,0.223310849,1.228172081,1.738457268,NA,Quiscalus quiscula,Passeriformes,Icteridae,Quiscalus,Common Grackle,no,99,5/24/2018,8/31/2018,NA,NA,comgra-ERD2018-EBIRD_SCIENCE-20191102-aad9df2c
botgra,-0.239048051,-0.215926587,7.221862857,0.496778216,0.204402612,0.99196418,0.773005352,NA,Quiscalus major,Passeriformes,Icteridae,Quiscalus,Boat-tailed Grackle,no,94,NA,NA,1/4/2018,12/28/2018,botgra-ERD2018-EBIRD_SCIENCE-20191104-56c62228
grtgra,1.244085447,1.273944626,6.736705038,0.285493433,0.536957149,2.250635224,3.874944032,NA,Quiscalus mexicanus,Passeriformes,Icteridae,Quiscalus,Great-tailed Grackle,no,51,5/3/2018,7/13/2018,NA,NA,grtgra-ERD2018-EBIRD_SCIENCE-20191104-c38f6723
ovenbi1,-1.172352506,-0.80550702,6.340465161,0.04683659,0.020074939,0.438861257,-0.792017263,NA,Seiurus aurocapilla,Passeriformes,Parulidae,Seiurus,Ovenbird,no,100,6/14/2018,7/27/2018,NA,NA,ovenbi1-ERD2018-EBIRD_SCIENCE-20191029-6c96e277
woewar1,-1.441841218,-2,6.745790728,0.071730956,0.047862923,0.282901483,-1.23784475,NA,Helmitheros vermivorum,Passeriformes,Parulidae,Helmitheros,Worm-eating Warbler,no,99,5/31/2018,7/20/2018,NA,NA,woewar1-ERD2018-EBIRD_SCIENCE-20191107-a3b44fab
louwat,-1.253158208,-1.259066572,6.468369268,0.127995887,0.051727456,0.517250132,-0.723023471,NA,Parkesia motacilla,Passeriformes,Parulidae,Parkesia,Louisiana Waterthrush,no,100,5/31/2018,6/21/2018,NA,NA,louwat-ERD2018-EBIRD_SCIENCE-20191109-6059161a
norwat,-1.505652094,-1.128752511,5.957080869,0.015647695,0.005883014,0.422748406,-1.057137237,NA,Parkesia noveboracensis,Passeriformes,Parulidae,Parkesia,Northern Waterthrush,no,99,6/14/2018,7/13/2018,NA,NA,norwat-ERD2018-EBIRD_SCIENCE-20191105-3029dbd3
gowwar,-1.878075834,-2,4.695934917,0.022490179,0.007643532,0.172925768,-1.728787394,NA,Vermivora chrysoptera,Passeriformes,Parulidae,Vermivora,Golden-winged Warbler,no,100,6/7/2018,7/27/2018,NA,NA,gowwar-ERD2018-EBIRD_SCIENCE-20191108-51224a26
buwwar,-0.478616319,-0.207388781,7.03220028,0.157579837,0.172025921,0.598063262,-0.036689117,NA,Vermivora cyanoptera,Passeriformes,Parulidae,Vermivora,Blue-winged Warbler,no,100,6/7/2018,7/27/2018,NA,NA,buwwar-ERD2018-EBIRD_SCIENCE-20191101-e56a7afe
bawwar,-1.257578526,-1.053287524,5.793924117,0.047202386,0.016071499,0.411110116,-0.898077822,NA,Mniotilta varia,Passeriformes,Parulidae,Mniotilta,Black-and-white Warbler,no,100,6/7/2018,7/6/2018,NA,NA,bawwar-ERD2018-EBIRD_SCIENCE-20191103-54d22587
prowar,-0.974950575,-0.915021837,5.739466423,0.279011972,0.100310056,0.910456549,0.113256633,NA,Protonotaria citrea,Passeriformes,Parulidae,Protonotaria,Prothonotary Warbler,no,99,5/10/2018,7/13/2018,NA,NA,prowar-ERD2018-EBIRD_SCIENCE-20191029-f73b8782
swawar,-1.591309282,-1.90405755,5.425716937,0.09713514,0.039291999,0.392182732,-1.168064896,NA,Limnothlypis swainsonii,Passeriformes,Parulidae,Limnothlypis,Swainson's Warbler,no,99,5/10/2018,7/20/2018,NA,NA,swawar-ERD2018-EBIRD_SCIENCE-20191112-21158dfa
tenwar,-1.599549248,-1.686295233,4.1724419,0.008681623,0.010992594,0.496498019,-1.005044886,NA,Leiothlypis peregrina,Passeriformes,Parulidae,Leiothlypis,Tennessee Warbler,no,99,6/14/2018,7/6/2018,NA,NA,tenwar-ERD2018-EBIRD_SCIENCE-20191104-9aded632
orcwar,-0.710293562,-0.369702324,6.160046178,0.01357237,0.015204135,0.561559885,-0.26195101,0.823959706,Leiothlypis celata,Passeriformes,Parulidae,Leiothlypis,Orange-crowned Warbler,no,99,6/14/2018,7/13/2018,NA,NA,orcwar-ERD2018-EBIRD_SCIENCE-20191103-e426fedd
lucwar,0.081802515,0.166498158,6.117578568,0.068518957,0.063752668,1.080974166,1.1472479,NA,Leiothlypis luciae,Passeriformes,Parulidae,Leiothlypis,Lucy's Warbler,no,76,5/10/2018,7/6/2018,NA,NA,lucwar-ERD2018-EBIRD_SCIENCE-20191111-7853fdaa
naswar,-1.611513199,-1.683005106,4.407998863,0.017153862,0.001107176,0.331606326,-1.280652284,NA,Leiothlypis ruficapilla,Passeriformes,Parulidae,Leiothlypis,Nashville Warbler,no,100,6/14/2018,7/13/2018,NA,NA,naswar-ERD2018-EBIRD_SCIENCE-20191104-ab46da59
virwar,-0.285052788,-0.421286419,4.791194198,0.013932069,0.007468124,0.402634972,-0.21435326,0,Leiothlypis virginiae,Passeriformes,Parulidae,Leiothlypis,Virginia's Warbler,no,97,5/31/2018,7/27/2018,NA,NA,virwar-ERD2018-EBIRD_SCIENCE-20191108-2b65211b
conwar,-1.856168544,-1.859716503,6.376628032,0.009137211,0.002221419,0.287796471,-1.527053647,NA,Oporornis agilis,Passeriformes,Parulidae,Oporornis,Connecticut Warbler,no,100,6/7/2018,7/6/2018,NA,NA,conwar-ERD2018-EBIRD_SCIENCE-20191112-fb208068
macwar,-1.746365042,-2,4.288326846,0.005999276,0.001200206,0.195467709,-1.597825998,NA,Geothlypis tolmiei,Passeriformes,Parulidae,Geothlypis,MacGillivray's Warbler,no,99,6/21/2018,7/20/2018,NA,NA,macwar-ERD2018-EBIRD_SCIENCE-20191029-bf51ad79
mouwar,-1.613849447,-1.64149703,4.779466126,0.036398061,0.012796925,0.410753857,-1.154155348,NA,Geothlypis philadelphia,Passeriformes,Parulidae,Geothlypis,Mourning Warbler,no,99,6/14/2018,7/27/2018,NA,NA,mouwar-ERD2018-EBIRD_SCIENCE-20191109-66981883
kenwar,-1.762103181,-1.977176005,6.04663732,0.110430272,0.020000832,0.405625396,-1.268780976,NA,Geothlypis formosa,Passeriformes,Parulidae,Geothlypis,Kentucky Warbler,no,100,6/7/2018,8/3/2018,NA,NA,kenwar-ERD2018-EBIRD_SCIENCE-20191028-5f77e2b0
comyel,0.11077151,0.012926325,7.061800874,0.092572885,0.110513327,1.000882617,1.038321953,NA,Geothlypis trichas,Passeriformes,Parulidae,Geothlypis,Common Yellowthroat,no,93,6/7/2018,8/3/2018,NA,NA,comyel-ERD2018-EBIRD_SCIENCE-20191026-19553139
hoowar,-1.789707841,-1.90005161,6.577169219,0.126731407,0.017563332,0.450924537,-1.215219801,NA,Setophaga citrina,Passeriformes,Parulidae,Setophaga,Hooded Warbler,no,100,5/31/2018,7/27/2018,NA,NA,hoowar-ERD2018-EBIRD_SCIENCE-20191028-a62204e9
amered,-0.399497649,-0.324602644,5.769340589,0.069376977,0.053554365,0.714087281,0.20794161,NA,Setophaga ruticilla,Passeriformes,Parulidae,Setophaga,American Redstart,no,99,6/21/2018,7/13/2018,NA,NA,amered-ERD2018-EBIRD_SCIENCE-20191103-d99815c3
camwar,-1.408579368,-1.684236564,4.333057827,0.009197832,0.003006813,0.298283954,-1.189080387,0,Setophaga tigrina,Passeriformes,Parulidae,Setophaga,Cape May Warbler,no,100,6/21/2018,7/20/2018,NA,NA,camwar-ERD2018-EBIRD_SCIENCE-20191107-d00a8a96
cerwar,-1.907619125,-2,6.555788686,0.052578861,0.019654287,0.209469818,-1.690794604,NA,Setophaga cerulea,Passeriformes,Parulidae,Setophaga,Cerulean Warbler,nonurban,100,5/31/2018,7/13/2018,NA,NA,cerwar-ERD2018-EBIRD_SCIENCE-20191108-53de986c
norpar,-0.96366108,-0.851457276,6.098542498,0.149737336,0.052572594,0.748820074,-0.140402961,0.87985147,Setophaga americana,Passeriformes,Parulidae,Setophaga,Northern Parula,no,99,6/21/2018,7/27/2018,NA,NA,norpar-ERD2018-EBIRD_SCIENCE-20191103-2ed9d479
magwar,-1.737931697,-1.942775801,4.550533651,0.015026208,0.003250001,0.315948749,-1.396669683,0.140846047,Setophaga magnolia,Passeriformes,Parulidae,Setophaga,Magnolia Warbler,no,99,6/14/2018,8/3/2018,NA,NA,magwar-ERD2018-EBIRD_SCIENCE-20191029-81587451
babwar,-1.733790637,-2,4.492751942,0.007659051,0.001454979,0.245743649,-1.507390822,NA,Setophaga castanea,Passeriformes,Parulidae,Setophaga,Bay-breasted Warbler,no,99,6/14/2018,7/20/2018,NA,NA,babwar-ERD2018-EBIRD_SCIENCE-20191109-07c04a09
bkbwar,-1.23140443,-1.004868562,4.810323808,0.022673824,0.000806751,0.707333055,-0.399600319,NA,Setophaga fusca,Passeriformes,Parulidae,Setophaga,Blackburnian Warbler,no,99,6/7/2018,7/27/2018,NA,NA,bkbwar-ERD2018-EBIRD_SCIENCE-20191105-2e0c75ae
yelwar,0.332841039,0.416997478,6.928693284,0.058108189,0.14875761,0.87688417,0.996775232,1.301058078,Setophaga petechia,Passeriformes,Parulidae,Setophaga,Yellow Warbler,no,91,6/14/2018,7/13/2018,NA,NA,yelwar-ERD2018-EBIRD_SCIENCE-20191030-23e952b3
chswar,-1.460705732,-1.170623433,4.845761462,0.047651768,0.008960978,0.390778272,-1.076676626,NA,Setophaga pensylvanica,Passeriformes,Parulidae,Setophaga,Chestnut-sided Warbler,no,100,6/14/2018,7/20/2018,NA,NA,chswar-ERD2018-EBIRD_SCIENCE-20191104-a023ee75
bkpwar,-1.911859153,-2,5.355088986,0.004760671,0.002179376,0.166281033,-1.763775744,NA,Setophaga striata,Passeriformes,Parulidae,Setophaga,Blackpoll Warbler,no,99,6/14/2018,8/10/2018,NA,NA,bkpwar-ERD2018-EBIRD_SCIENCE-20191105-90a313d7
btbwar,-1.895107056,-2,5.382508278,0.025197179,0.002389159,0.203228654,-1.691928552,NA,Setophaga caerulescens,Passeriformes,Parulidae,Setophaga,Black-throated Blue Warbler,no,99,6/14/2018,8/17/2018,NA,NA,btbwar-ERD2018-EBIRD_SCIENCE-20191026-6ace767f
palwar,-1.934347546,-2,5.222604093,0.007780577,0.00272711,0.266829656,-1.617073807,NA,Setophaga palmarum,Passeriformes,Parulidae,Setophaga,Palm Warbler,no,99,5/31/2018,7/27/2018,NA,NA,palwar-ERD2018-EBIRD_SCIENCE-20191103-d6272620
pinwar,-0.625201379,-0.566540998,6.414947029,0.17107347,0.059494977,0.749142704,0.102846744,0.855181604,Setophaga pinus,Passeriformes,Parulidae,Setophaga,Pine Warbler,no,97,5/31/2018,8/10/2018,NA,NA,pinwar-ERD2018-EBIRD_SCIENCE-20191103-1a8f7ddf
yerwar,-1.650661804,-1.262430162,4.628585556,0.010107971,0.001005151,0.350652684,-1.277883924,NA,Setophaga coronata,Passeriformes,Parulidae,Setophaga,Yellow-rumped Warbler,no,99,6/14/2018,7/20/2018,NA,NA,yerwar-ERD2018-EBIRD_SCIENCE-20191102-5c560725
yetwar,-0.921305306,-0.772842384,5.956672943,0.248516124,0.067164805,0.861976831,0.073219886,0.876315678,Setophaga dominica,Passeriformes,Parulidae,Setophaga,Yellow-throated Warbler,no,99,5/10/2018,6/28/2018,NA,NA,yetwar-ERD2018-EBIRD_SCIENCE-20191105-c78bb029
prawar,-1.041790433,-0.682534096,7.028458638,0.131996676,0.072762439,0.494329321,-0.608558748,NA,Setophaga discolor,Passeriformes,Parulidae,Setophaga,Prairie Warbler,no,99,5/31/2018,7/6/2018,NA,NA,prawar-ERD2018-EBIRD_SCIENCE-20191105-23be873e
grawar,-1.327540648,-2,4.431966159,0.003275043,0.000937107,0.095670879,-1.459077104,NA,Setophaga graciae,Passeriformes,Parulidae,Setophaga,Grace's Warbler,no,41,5/17/2018,8/31/2018,NA,NA,grawar-ERD2018-EBIRD_SCIENCE-20191112-44945a1a
btywar,-0.516571699,-0.322987666,6.008304785,0.034283859,0.057203152,0.624208232,-0.021569462,NA,Setophaga nigrescens,Passeriformes,Parulidae,Setophaga,Black-throated Gray Warbler,no,96,6/7/2018,7/27/2018,NA,NA,btywar-ERD2018-EBIRD_SCIENCE-20191026-f4e4f45f
towwar,-1.882528544,-2,4.900446739,0.004892541,0.001247478,0.236135933,-1.629617431,NA,Setophaga townsendi,Passeriformes,Parulidae,Setophaga,Townsend's Warbler,no,99,6/21/2018,7/20/2018,NA,NA,towwar-ERD2018-EBIRD_SCIENCE-20191105-8afbaa70
herwar,-1.976994941,-2,5.801970487,0.001762727,0,0.018891842,-2.049171716,NA,Setophaga occidentalis,Passeriformes,Parulidae,Setophaga,Hermit Warbler,no,98,6/7/2018,7/13/2018,NA,NA,herwar-ERD2018-EBIRD_SCIENCE-20191112-d06d0deb
gchwar,-0.55743385,-0.222679828,6.127670885,0.065747974,0.077300022,0.405104054,-0.405693572,NA,Setophaga chrysoparia,Passeriformes,Parulidae,Setophaga,Golden-cheeked Warbler,no,100,3/22/2018,8/3/2018,NA,NA,gchwar-ERD2018-EBIRD_SCIENCE-20191113-09870d42
btnwar,-1.708376135,-1.871315904,4.908672066,0.037978254,0.003105806,0.358943181,-1.305848181,NA,Setophaga virens,Passeriformes,Parulidae,Setophaga,Black-throated Green Warbler,no,99,6/7/2018,7/27/2018,NA,NA,btnwar-ERD2018-EBIRD_SCIENCE-20191104-9d90a3ab
canwar,-1.853797762,-2,4.933364307,0.017129936,0.006750604,0.215981729,-1.641651017,NA,Cardellina canadensis,Passeriformes,Parulidae,Cardellina,Canada Warbler,no,100,6/14/2018,7/20/2018,NA,NA,canwar-ERD2018-EBIRD_SCIENCE-20191101-cfd7f2fe
wlswar,-1.022388592,-0.551957678,5.9022388,0.011656095,0.011343665,0.453608966,-0.660587659,NA,Cardellina pusilla,Passeriformes,Parulidae,Cardellina,Wilson's Warbler,no,99,6/28/2018,7/20/2018,NA,NA,wlswar-ERD2018-EBIRD_SCIENCE-20191104-88cc67fa
sumtan,-1.18362497,-0.905627272,5.448942291,0.159727902,0.033367307,0.725419297,-0.336046099,NA,Piranga rubra,Passeriformes,Cardinalidae,Piranga,Summer Tanager,no,87,6/14/2018,8/17/2018,NA,NA,sumtan-ERD2018-EBIRD_SCIENCE-20191104-69c61e9f
scatan,-0.520867565,-0.632864478,6.806529559,0.186826009,0.052433632,0.92830416,0.467806035,NA,Piranga olivacea,Passeriformes,Cardinalidae,Piranga,Scarlet Tanager,no,100,6/7/2018,8/17/2018,NA,NA,scatan-ERD2018-EBIRD_SCIENCE-20191104-9cbe898c
westan,-1.230303675,-0.987296072,5.468860586,0.015086785,0.001942536,0.435953366,-0.838286162,NA,Piranga ludoviciana,Passeriformes,Cardinalidae,Piranga,Western Tanager,no,96,6/21/2018,7/6/2018,NA,NA,westan-ERD2018-EBIRD_SCIENCE-20191030-52ba1004
norcar,0.36536046,0.102054224,6.170457995,0.222950148,0.37642821,1.125390377,1.422530301,2.767512254,Cardinalis cardinalis,Passeriformes,Cardinalidae,Cardinalis,Northern Cardinal,no,74,NA,NA,1/4/2018,12/28/2018,norcar-ERD2018-EBIRD_SCIENCE-20191101-9d64219a
pyrrhu,-1.3384317,-1.352041153,5.536669936,0.0627765,0.035767039,0.496579152,-0.817652385,0,Cardinalis sinuatus,Passeriformes,Cardinalidae,Cardinalis,Pyrrhuloxia,no,44,NA,NA,1/4/2018,12/28/2018,pyrrhu-ERD2018-EBIRD_SCIENCE-20191109-2020a556
robgro,-0.258359822,-0.235298719,6.519920265,0.113602537,0.095955695,0.898544571,0.607871124,NA,Pheucticus ludovicianus,Passeriformes,Cardinalidae,Pheucticus,Rose-breasted Grosbeak,no,100,6/21/2018,8/3/2018,NA,NA,robgro-ERD2018-EBIRD_SCIENCE-20191103-63b9d4e9
bkhgro,0.41648513,0.424791242,6.930657555,0.051318849,0.098561346,0.967809768,1.204006717,NA,Pheucticus melanocephalus,Passeriformes,Cardinalidae,Pheucticus,Black-headed Grosbeak,no,75,6/14/2018,7/6/2018,NA,NA,bkhgro-ERD2018-EBIRD_SCIENCE-20191104-e2e09901
blugrb1,-0.7494358,-0.514650162,6.420117577,0.147507783,0.077532017,0.80082456,0.097445879,NA,Passerina caerulea,Passeriformes,Cardinalidae,Passerina,Blue Grosbeak,no,73,5/31/2018,8/10/2018,NA,NA,blugrb1-ERD2018-EBIRD_SCIENCE-20191105-60cf2ecb
lazbun,-0.795356066,-0.597309515,5.481832973,0.041028722,0.020515789,0.761890729,0.00146417,NA,Passerina amoena,Passeriformes,Cardinalidae,Passerina,Lazuli Bunting,no,98,6/14/2018,7/13/2018,NA,NA,lazbun-ERD2018-EBIRD_SCIENCE-20191029-b33310f2
indbun,-0.371207833,-0.523350547,5.903613036,0.172152696,0.082996008,1.025632386,0.732749291,NA,Passerina cyanea,Passeriformes,Cardinalidae,Passerina,Indigo Bunting,no,97,6/7/2018,8/3/2018,NA,NA,indbun-ERD2018-EBIRD_SCIENCE-20191028-42b2389d
paibun,-1.016949785,-0.973074304,6.191101305,0.143999524,0.028248264,0.849389674,-0.015755575,NA,Passerina ciris,Passeriformes,Cardinalidae,Passerina,Painted Bunting,no,84,5/24/2018,6/28/2018,NA,NA,paibun-ERD2018-EBIRD_SCIENCE-20191029-e00a365d
dickci,-1.701329206,-1.783479843,5.885969513,0.100958321,0.008546721,0.559740409,-0.97562122,NA,Spiza americana,Passeriformes,Cardinalidae,Spiza,Dickcissel,no,98,5/31/2018,8/3/2018,NA,NA,dickci-ERD2018-EBIRD_SCIENCE-20191105-0b91ffbf
