species_code,UrbanIndex1,UrbanIndex2,UrbanIndex3,UrbanIndex4,UrbanIndex5,UrbanIndex6,PC1_scores,mean_br_occur,scientific_name,order,family,genus,common_name,test_spp,br_rng_extent,breeding_start_dt,breeding_end_dt,year_round_start_dt,year_round_end_dt,run_name
eursta,0.76056589,0.284477572,5.872201583,0.173544845,0.277568437,1.554092626,2.400198013,2.914963404,Sturnus vulgaris,Passeriformes,Sturnidae,Sturnus,European Starling,urban,83,NA,NA,1/4/2018,12/28/2018,eursta-ERD2018-EBIRD_SCIENCE-20191101-615f85ec
amedip,-1.471229819,-1.932350818,5.356572331,0.005121012,0.003929318,0.194020116,-1.402856322,NA,Cinclus mexicanus,Passeriformes,Cinclidae,Cinclus,American Dipper,no,98,NA,NA,1/4/2018,12/28/2018,amedip-ERD2018-EBIRD_SCIENCE-20191111-bddfbe4e
easblu,0.111402684,0.101652882,5.97730749,0.172286976,0.321757209,1.048314781,1.115586769,1.153940061,Sialia sialis,Passeriformes,Turdidae,Sialia,Eastern Bluebird,no,83,5/17/2018,8/31/2018,NA,NA,easblu-ERD2018-EBIRD_SCIENCE-20191028-8d3f9323
wesblu,0.630350929,0.372008331,6.881160832,0.067170597,0.119057065,1.006277896,1.419676828,NA,Sialia mexicana,Passeriformes,Turdidae,Sialia,Western Bluebird,no,74,4/26/2018,9/14/2018,NA,NA,wesblu-ERD2018-EBIRD_SCIENCE-20191030-02e6da70
moublu,-1.461703861,-1.67593793,4.368337526,0.007626083,0.001200705,0.297452306,-1.228525532,0.607660456,Sialia currucoides,Passeriformes,Turdidae,Sialia,Mountain Bluebird,no,100,5/3/2018,8/31/2018,NA,NA,moublu-ERD2018-EBIRD_SCIENCE-20191029-d0c57470
towsol,-1.381653674,-2,4.280115627,0.00198349,0.001585993,0.100669116,-1.489790198,NA,Myadestes townsendi,Passeriformes,Turdidae,Myadestes,Townsend's Solitaire,no,100,6/7/2018,8/24/2018,NA,NA,towsol-ERD2018-EBIRD_SCIENCE-20191109-41440a70
veery,-0.691970437,-0.418392348,5.857458252,0.0572629,0.074671869,0.594825776,-0.194939385,NA,Catharus fuscescens,Passeriformes,Turdidae,Catharus,Veery,nonurban,100,6/7/2018,8/3/2018,NA,NA,veery-ERD2018-EBIRD_SCIENCE-20191104-d6350f2b
bicthr,-1.997813128,-2,7.606958691,0.007110318,0.000788484,0.085019392,-1.957013851,NA,Catharus bicknelli,Passeriformes,Turdidae,Catharus,Bicknell's Thrush,no,99,6/14/2018,7/13/2018,NA,NA,bicthr-ERD2018-EBIRD_SCIENCE-20191030-bda67faa
swathr,-1.409931277,-1.372678707,5.447164263,0.012364099,0.010716761,0.378300978,-1.060469463,NA,Catharus ustulatus,Passeriformes,Turdidae,Catharus,Swainson's Thrush,no,99,6/14/2018,7/27/2018,NA,NA,swathr-ERD2018-EBIRD_SCIENCE-20191104-ed5d5ccf
herthr,-1.751078139,-1.854565658,4.785415309,0.012887983,0.001969153,0.356970939,-1.339665902,NA,Catharus guttatus,Passeriformes,Turdidae,Catharus,Hermit Thrush,no,99,5/31/2018,8/17/2018,NA,NA,herthr-ERD2018-EBIRD_SCIENCE-20191028-83323374
woothr,-0.083441591,-0.123710858,7.202216873,0.221894857,0.163382477,1.029126235,0.94477956,NA,Hylocichla mustelina,Passeriformes,Turdidae,Hylocichla,Wood Thrush,no,100,5/24/2018,9/7/2018,NA,NA,woothr-ERD2018-EBIRD_SCIENCE-20191101-fb4924e9
amerob,0.836213327,0.873346575,7.412721547,0.07380105,0.33938858,0.997203064,1.552615687,NA,Turdus migratorius,Passeriformes,Turdidae,Turdus,American Robin,urban,93,5/31/2018,8/31/2018,NA,NA,amerob-ERD2018-EBIRD_SCIENCE-20191023-f7cd90df
varthr,-1.989217054,-2,4.611330739,0.002556325,0.000722595,0.167017231,-1.818060953,NA,Ixoreus naevius,Passeriformes,Turdidae,Ixoreus,Varied Thrush,no,99,5/31/2018,8/24/2018,NA,NA,varthr-ERD2018-EBIRD_SCIENCE-20191105-bddf2408
houspa,1.133581433,0.679261604,7.196798545,0.272644622,0.517875665,1.891611213,3.214288368,2.854257213,Passer domesticus,Passeriformes,Passeridae,Passer,House Sparrow,urban,43,NA,NA,1/4/2018,12/28/2018,houspa-ERD2018-EBIRD_SCIENCE-20191102-8400ef0b
eutspa,0.169668196,0.375157024,7.397951945,0.135371667,0.140236645,0.69193954,0.580254046,3,Passer montanus,Passeriformes,Passeridae,Passer,Eurasian Tree Sparrow,no,100,NA,NA,1/4/2018,12/28/2018,eutspa-ERD2018-EBIRD_SCIENCE-20191112-26f692b5
amepip,-1.981420636,-2,4.614177509,0.001357972,0.000492698,0.128722956,-1.874483901,NA,Anthus rubescens,Passeriformes,Motacillidae,Anthus,American Pipit,no,99,6/7/2018,8/10/2018,NA,NA,amepip-ERD2018-EBIRD_SCIENCE-20191104-9d86fa06
sprpip,-2,-2,0,0.009304709,0,0.301314828,-1.608310965,NA,Anthus spragueii,Passeriformes,Motacillidae,Anthus,Sprague's Pipit,no,100,5/17/2018,9/14/2018,NA,NA,sprpip-ERD2018-EBIRD_SCIENCE-20191112-bcf4bb23
